destination,st_dest_abbrv,co_dest_name,returns,exempts
45013,SC,Beaufort County,46,78
47157,TN,Shelby County,43,75
25005,MA,Bristol County,44,72
29095,MO,Jackson County,47,72
55025,WI,Dane County,56,71
50007,VT,Chittenden County,55,69
13247,GA,Rockdale County,27,64
36025,NY,Delaware County,45,64
37021,NC,Buncombe County,33,64
37135,NC,Orange County,35,63
42075,PA,Lebanon County,20,55
48491,TX,Williamson County,23,54
13217,GA,Newton County,30,53
13097,GA,Douglas County,23,52
45045,SC,Greenville County,26,52
06019,CA,Fresno County,23,51
27123,MN,Ramsey County,26,48
36045,NY,Jefferson County,27,47
12053,FL,Hernando County,24,46
37025,NC,Cabarrus County,22,46
33015,NH,Rockingham County,23,43
40109,OK,Oklahoma County,23,42
36077,NY,Otsego County,20,41
51550,VA,Chesapeake city,20,41
51700,VA,Newport News city,20,41
12001,FL,Alachua County,25,40
20091,KS,Johnson County,27,40
34019,NJ,Hunterdon County,33,40
40143,OK,Tulsa County,23,40
01073,AL,Jefferson County,28,39
31055,NE,Douglas County,21,38
22055,LA,Lafayette Parish,20,37
29510,MO,St. Louis city,26,37
34041,NJ,Warren County,20,37
35049,NM,Santa Fe County,28,36
44005,RI,Newport County,20,36
06097,CA,Sonoma County,23,34
12119,FL,Sumter County,20,34
41067,OR,Washington County,25,32
45075,SC,Orangeburg County,21,32
51540,VA,Charlottesville city,20,31
06087,CA,Santa Cruz County,25,30
12085,FL,Martin County,23,30
23031,ME,York County,20,24
42027,PA,Centre County,20,23
