origin,st_orig_abbrv,co_orig_name,returns,exempts
25003,MA,Berkshire County,44,59
22033,LA,East Baton Rouge Parish,41,58
48141,TX,El Paso County,29,58
20091,KS,Johnson County,47,57
33015,NH,Rockingham County,50,57
31055,NE,Douglas County,45,56
53061,WA,Snohomish County,48,56
45045,SC,Greenville County,43,53
13063,GA,Clayton County,29,52
36045,NY,Jefferson County,28,51
48157,TX,Fort Bend County,45,47
13051,GA,Chatham County,35,43
01073,AL,Jefferson County,33,42
33009,NH,Grafton County,36,42
37133,NC,Onslow County,24,39
40109,OK,Oklahoma County,27,36
42133,PA,York County,20,34
10001,DE,Kent County,22,33
24021,MD,Frederick County,24,33
34015,NJ,Gloucester County,27,33
47187,TN,Williamson County,23,33
51550,VA,Chesapeake city,20,33
27037,MN,Dakota County,22,32
37021,NC,Buncombe County,27,32
40143,OK,Tulsa County,22,31
26081,MI,Kent County,22,30
26099,MI,Macomb County,22,30
06097,CA,Sonoma County,20,29
12109,FL,St. Johns County,24,29
06019,CA,Fresno County,21,28
21067,KY,Fayette County,20,28
53053,WA,Pierce County,26,28
08059,CO,Jefferson County,22,27
36025,NY,Delaware County,20,27
45013,SC,Beaufort County,22,26
12081,FL,Manatee County,24,25
42041,PA,Cumberland County,23,25
41067,OR,Washington County,21,24
51540,VA,Charlottesville city,22,24
34041,NJ,Warren County,20,23
35049,NM,Santa Fe County,21,23
39017,OH,Butler County,20,23
42027,PA,Centre County,22,23
41039,OR,Lane County,21,22
06053,CA,Monterey County,20,21
34009,NJ,Cape May County,20,21
