,cbsa_name,cbsa_code,inflow2011_12,outflow2011_12,net_flow2011_12,inflow2012_13,outflow2012_13,net_flow2012_13,inflow2013_14,outflow2013_14,net_flow2013_14,inflow2014_15,outflow2014_15,net_flow2014_15,in_rank2011_12,ou_rank2011_12,in_rank2012_13,ou_rank2012_13,in_rank2013_14,ou_rank2013_14,in_rank2014_15,ou_rank2014_15,tot_inflow,tot_outflow,tot_net_flow,net_change12_13,net_change13_14,net_change14_15
32,"Boise City, ID",14260,19,40,-21,51,17,34,0,0,0,0,0,0,160.0,161.0,145.0,187.0,130.0,135.0,118.0,125.0,70,57,13,55,-34,0
33,"Boston-Cambridge-Newton, MA-NH",14460,8305,9594,-1289,8495,9590,-1095,6940,7978,-1038,5001,6138,-1137,5.0,7.0,5.0,8.0,6.0,8.0,7.0,9.0,28741,33300,-4559,194,57,-99
34,"Boulder, CO",14500,182,383,-201,202,405,-203,111,357,-246,80,245,-165,99.0,93.0,100.0,98.0,92.0,76.0,87.0,75.0,575,1390,-815,-2,-43,81
35,"Bowling Green, KY",14540,0,0,0,0,28,-28,0,0,0,0,0,0,169.0,187.0,179.0,179.0,130.0,135.0,118.0,125.0,0,28,-28,-28,28,0
36,"Bozeman, MT",14580,16,0,16,18,13,5,0,0,0,0,0,0,163.0,187.0,171.0,190.0,130.0,135.0,118.0,125.0,34,13,21,-11,-5,0
37,"Bremerton-Silverdale, WA",14740,33,18,15,25,35,-10,0,0,0,0,0,0,149.0,179.0,164.0,172.0,130.0,135.0,118.0,125.0,58,53,5,-25,10,0
38,"Bridgeport-Stamford-Norwalk, CT",14860,7122,11486,-4364,7644,12518,-4874,7366,12205,-4839,5901,9683,-3782,6.0,3.0,6.0,4.0,5.0,4.0,5.0,3.0,28033,45892,-17859,-510,35,1057
39,"Brunswick, GA",15260,0,19,-19,0,0,0,0,0,0,0,0,0,169.0,178.0,179.0,194.0,130.0,135.0,118.0,125.0,0,19,-19,19,0,0
40,"Buffalo-Cheektowaga-Niagara Falls, NY",15380,1177,1527,-350,1210,1562,-352,1000,1277,-277,723,1047,-324,36.0,41.0,36.0,41.0,32.0,43.0,31.0,38.0,4110,5413,-1303,-2,75,-47
41,"Burlington, NC",15500,0,0,0,0,58,-58,0,0,0,0,0,0,169.0,187.0,179.0,154.0,130.0,135.0,118.0,125.0,0,58,-58,-58,58,0
42,"Burlington-South Burlington, VT",15540,190,231,-41,192,261,-69,89,132,-43,72,69,3,97.0,110.0,102.0,110.0,99.0,105.0,91.0,107.0,543,693,-150,-28,26,46
