,cbsa_name,cbsa_code,inflow2011_12,outflow2011_12,net_flow2011_12,inflow2012_13,outflow2012_13,net_flow2012_13,inflow2013_14,outflow2013_14,net_flow2013_14,inflow2014_15,outflow2014_15,net_flow2014_15,in_rank2011_12,ou_rank2011_12,in_rank2012_13,ou_rank2012_13,in_rank2013_14,ou_rank2013_14,in_rank2014_15,ou_rank2014_15,tot_inflow,tot_outflow,tot_net_flow,net_change12_13,net_change13_14,net_change14_15
134,"Killeen-Temple, TX",28660,224,340,-116,208,437,-229,42,214,-172,0,169,-169,91.0,99.0,99.0,92.0,119.0,93.0,118.0,81.0,474,1160,-686,-113,57,3
135,"Kingston, NY",28740,3129,3439,-310,2848,3401,-553,2568,3243,-675,1920,2658,-738,14.0,22.0,16.0,22.0,14.0,22.0,16.0,21.0,10465,12741,-2276,-243,-122,-63
136,"Knoxville, TN",28940,72,76,-4,89,156,-67,67,0,67,0,0,0,126.0,140.0,124.0,123.0,108.0,135.0,118.0,125.0,228,232,-4,-63,134,-67
137,"Lafayette, LA",29180,18,42,-24,19,37,-18,0,29,-29,0,37,-37,161.0,160.0,170.0,170.0,130.0,134.0,118.0,117.0,37,145,-108,6,-11,-8
138,"Lafayette-West Lafayette, IN",29200,42,12,30,16,0,16,0,0,0,0,0,0,142.0,185.0,173.0,194.0,130.0,135.0,118.0,125.0,58,12,46,-14,-16,0
139,"Lakeland-Winter Haven, FL",29460,897,1324,-427,636,1293,-657,265,1354,-1089,229,910,-681,44.0,46.0,54.0,50.0,64.0,40.0,59.0,42.0,2027,4881,-2854,-230,-432,408
140,"Lancaster, PA",29540,513,948,-435,432,873,-441,185,612,-427,187,351,-164,63.0,57.0,69.0,61.0,80.0,63.0,66.0,68.0,1317,2784,-1467,-6,14,263
141,"Lansing-East Lansing, MI",29620,46,46,0,71,58,13,30,0,30,0,0,0,138.0,156.0,132.0,154.0,125.0,135.0,118.0,125.0,147,104,43,13,17,-30
142,"Laredo, TX",29700,0,0,0,0,12,-12,0,0,0,0,0,0,169.0,187.0,179.0,191.0,130.0,135.0,118.0,125.0,0,12,-12,-12,12,0
143,"Las Vegas-Henderson-Paradise, NV",29820,1412,2113,-701,1565,2213,-648,1048,2061,-1013,635,1758,-1123,31.0,33.0,27.0,33.0,31.0,31.0,34.0,28.0,4660,8145,-3485,53,-365,-110
144,"Lawrence, KS",29940,15,13,2,30,0,30,0,0,0,0,0,0,164.0,184.0,159.0,194.0,130.0,135.0,118.0,125.0,45,13,32,28,-30,0
145,"Lawton, OK",30020,0,19,-19,0,28,-28,0,0,0,0,0,0,169.0,178.0,179.0,179.0,130.0,135.0,118.0,125.0,0,47,-47,-9,28,0
146,"Lebanon, PA",30140,86,236,-150,60,237,-177,0,115,-115,0,55,-55,122.0,109.0,141.0,111.0,130.0,109.0,118.0,109.0,146,643,-497,-27,62,60
147,"Lexington-Fayette, KY",30460,67,81,-14,110,123,-13,58,31,27,28,0,28,129.0,137.0,117.0,127.0,112.0,132.0,112.0,125.0,263,235,28,1,40,1
148,"Lima, OH",30620,10,0,10,0,0,0,0,0,0,0,0,0,168.0,187.0,179.0,194.0,130.0,135.0,118.0,125.0,10,0,10,-10,0,0
149,"Lincoln, NE",30700,23,0,23,29,39,-10,0,0,0,0,0,0,156.0,187.0,160.0,168.0,130.0,135.0,118.0,125.0,52,39,13,-33,10,0
150,"Little Rock-North Little Rock-Conway, AR",30780,71,77,-6,80,46,34,32,0,32,0,0,0,127.0,139.0,129.0,163.0,124.0,135.0,118.0,125.0,183,123,60,40,-2,-32
151,"Logan, UT-ID",30860,18,0,18,0,0,0,0,0,0,0,0,0,161.0,187.0,179.0,194.0,130.0,135.0,118.0,125.0,18,0,18,-18,0,0
152,"Los Angeles-Long Beach-Anaheim, CA",31080,8482,10993,-2511,8595,13258,-4663,7946,11918,-3972,6196,9626,-3430,4.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,31219,45795,-14576,-2152,691,542
153,"Louisville/Jefferson County, KY-IN",31140,212,221,-9,226,264,-38,105,148,-43,69,130,-61,94.0,113.0,95.0,108.0,96.0,104.0,93.0,91.0,612,763,-151,-29,-5,-18
154,"Lubbock, TX",31180,11,46,-35,0,25,-25,0,0,0,0,0,0,167.0,156.0,179.0,182.0,130.0,135.0,118.0,125.0,11,71,-60,10,25,0
155,"Lynchburg, VA",31340,0,0,0,18,0,18,0,0,0,0,0,0,169.0,187.0,171.0,194.0,130.0,135.0,118.0,125.0,18,0,18,18,-18,0
156,"Macon-Bibb County, GA",31420,25,16,9,21,18,3,0,0,0,0,0,0,154.0,181.0,168.0,186.0,130.0,135.0,118.0,125.0,46,34,12,-6,-3,0
157,"Madison, WI",31540,326,229,97,263,237,26,120,148,-28,105,71,34,80.0,112.0,90.0,111.0,90.0,104.0,82.0,106.0,814,685,129,-71,-54,62
158,"Manchester-Nashua, NH",31700,230,518,-288,313,540,-227,190,240,-50,166,197,-31,90.0,76.0,81.0,80.0,76.0,89.0,70.0,80.0,899,1495,-596,61,177,19
159,"Manhattan, KS",31740,0,0,0,0,17,-17,0,0,0,0,0,0,169.0,187.0,179.0,187.0,130.0,135.0,118.0,125.0,0,17,-17,-17,17,0
160,"McAllen-Edinburg-Mission, TX",32580,50,94,-44,34,44,-10,0,0,0,0,0,0,135.0,134.0,156.0,165.0,130.0,135.0,118.0,125.0,84,138,-54,34,10,0
161,"Medford, OR",32780,0,0,0,0,35,-35,0,0,0,0,0,0,169.0,187.0,179.0,172.0,130.0,135.0,118.0,125.0,0,35,-35,-35,35,0
162,"Memphis, TN-MS-AR",32820,312,396,-84,379,423,-44,164,177,-13,130,75,55,82.0,90.0,75.0,94.0,85.0,100.0,77.0,105.0,985,1071,-86,40,31,68
163,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,17744,23905,-6161,17515,23388,-5873,12797,22304,-9507,9757,18596,-8839,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,57813,88193,-30380,288,-3634,668
164,"Milwaukee-Waukesha-West Allis, WI",33340,346,361,-15,307,410,-103,212,177,35,90,129,-39,79.0,98.0,82.0,96.0,71.0,100.0,84.0,92.0,955,1077,-122,-88,138,-74
165,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,1047,1112,-65,1012,997,15,708,802,-94,492,522,-30,38.0,51.0,39.0,57.0,38.0,53.0,39.0,56.0,3259,3433,-174,80,-109,64
166,"Missoula, MT",33540,0,0,0,15,0,15,0,0,0,0,0,0,169.0,187.0,174.0,194.0,130.0,135.0,118.0,125.0,15,0,15,15,-15,0
167,"Mobile, AL",33660,38,44,-6,61,75,-14,0,0,0,0,0,0,145.0,158.0,140.0,142.0,130.0,135.0,118.0,125.0,99,119,-20,-8,14,0
168,"Modesto, CA",33700,13,20,-7,23,18,5,0,0,0,0,0,0,166.0,177.0,166.0,186.0,130.0,135.0,118.0,125.0,36,38,-2,12,-5,0
169,"Montgomery, AL",33860,44,44,0,21,45,-24,0,0,0,0,0,0,140.0,158.0,168.0,164.0,130.0,135.0,118.0,125.0,65,89,-24,-24,24,0
170,"Morgantown, WV",34060,0,0,0,13,0,13,0,0,0,0,0,0,169.0,187.0,176.0,194.0,130.0,135.0,118.0,125.0,13,0,13,13,-13,0
171,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34820,380,1731,-1351,408,2142,-1734,195,1646,-1451,68,1049,-981,77.0,38.0,72.0,34.0,75.0,34.0,94.0,37.0,1051,6568,-5517,-383,283,470
172,"Napa, CA",34900,22,29,-7,26,47,-21,0,0,0,0,0,0,157.0,168.0,163.0,162.0,130.0,135.0,118.0,125.0,48,76,-28,-14,21,0
173,"Naples-Immokalee-Marco Island, FL",34940,925,1363,-438,576,1479,-903,202,1314,-1112,134,1120,-986,43.0,44.0,59.0,44.0,72.0,41.0,75.0,35.0,1837,5276,-3439,-465,-209,126
174,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,409,726,-317,612,841,-229,246,581,-335,216,631,-415,72.0,68.0,57.0,64.0,67.0,65.0,64.0,52.0,1483,2779,-1296,88,-106,-80
175,"New Bern, NC",35100,37,76,-39,68,86,-18,0,0,0,0,0,0,146.0,140.0,135.0,138.0,130.0,135.0,118.0,125.0,105,162,-57,21,18,0
176,"New Haven-Milford, CT",35300,2874,3593,-719,2714,3503,-789,2265,3351,-1086,1878,2711,-833,16.0,20.0,17.0,21.0,16.0,21.0,17.0,19.0,9731,13158,-3427,-70,-297,253
177,"New Orleans-Metairie, LA",35380,415,599,-184,441,636,-195,262,518,-256,206,367,-161,69.0,73.0,68.0,73.0,65.0,69.0,65.0,66.0,1324,2120,-796,-11,-61,95
178,"North Port-Sarasota-Bradenton, FL",35840,803,2142,-1339,870,2123,-1253,408,1951,-1543,217,1342,-1125,50.0,31.0,44.0,35.0,52.0,32.0,63.0,32.0,2298,7558,-5260,86,-290,418
179,"Norwich-New London, CT",35980,633,654,-21,633,564,69,431,470,-39,319,412,-93,58.0,69.0,55.0,78.0,51.0,72.0,51.0,61.0,2016,2100,-84,90,-108,-54
180,"Ocala, FL",36100,388,785,-397,318,787,-469,174,487,-313,0,377,-377,75.0,65.0,80.0,66.0,84.0,70.0,118.0,65.0,880,2436,-1556,-72,156,-64
181,"Ocean City, NJ",36140,233,409,-176,228,301,-73,52,80,-28,56,32,24,89.0,89.0,94.0,104.0,114.0,115.0,100.0,120.0,569,822,-253,103,45,52
182,"Ogden-Clearfield, UT",36260,0,0,0,27,26,1,0,0,0,0,0,0,169.0,187.0,162.0,181.0,130.0,135.0,118.0,125.0,27,26,1,1,-1,0
183,"Oklahoma City, OK",36420,129,249,-120,145,121,24,58,130,-72,36,42,-6,113.0,108.0,107.0,128.0,112.0,106.0,105.0,112.0,368,542,-174,144,-96,66
184,"Olympia-Tumwater, WA",36500,37,34,3,15,0,15,0,0,0,0,0,0,146.0,167.0,174.0,194.0,130.0,135.0,118.0,125.0,52,34,18,12,-15,0
185,"Omaha-Council Bluffs, NE-IA",36540,96,151,-55,105,134,-29,32,73,-41,56,38,18,120.0,122.0,118.0,124.0,124.0,118.0,100.0,116.0,289,396,-107,26,-12,59
186,"Oneonta, NY",36580,137,230,-93,134,181,-47,0,40,-40,0,41,-41,110.0,111.0,111.0,115.0,130.0,127.0,118.0,113.0,271,492,-221,46,7,-1
187,"Orangeburg, SC",36700,25,83,-58,0,71,-71,0,0,0,0,32,-32,154.0,136.0,179.0,144.0,130.0,135.0,118.0,120.0,25,186,-161,-13,71,-32
188,"Orlando-Kissimmee-Sanford, FL",36740,5675,9434,-3759,4959,9991,-5032,3654,8911,-5257,2788,7044,-4256,10.0,8.0,11.0,7.0,12.0,6.0,13.0,6.0,17076,35380,-18304,-1273,-225,1001
189,"Oxnard-Thousand Oaks-Ventura, CA",37100,169,252,-83,243,360,-117,106,191,-85,100,93,7,104.0,107.0,92.0,102.0,95.0,98.0,83.0,101.0,618,896,-278,-34,32,92
190,"Ozark, AL",37120,0,0,0,0,35,-35,0,32,-32,0,0,0,169.0,187.0,179.0,172.0,130.0,131.0,118.0,125.0,0,67,-67,-35,3,32
191,"Palm Bay-Melbourne-Titusville, FL",37340,638,1238,-600,643,1394,-751,375,1580,-1205,297,1131,-834,57.0,49.0,53.0,48.0,54.0,35.0,53.0,33.0,1953,5343,-3390,-151,-454,371
192,"Panama City, FL",37460,21,39,-18,18,35,-17,0,0,0,0,0,0,158.0,162.0,171.0,172.0,130.0,135.0,118.0,125.0,39,74,-35,1,17,0
193,"Pensacola-Ferry Pass-Brent, FL",37860,30,66,-36,49,103,-54,0,0,0,0,0,0,151.0,145.0,146.0,133.0,130.0,135.0,118.0,125.0,79,169,-90,-18,54,0
194,"Peoria, IL",37900,0,0,0,0,12,-12,0,0,0,0,0,0,169.0,187.0,179.0,191.0,130.0,135.0,118.0,125.0,0,12,-12,-12,12,0
195,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,16305,20762,-4457,15568,20100,-4532,12824,17532,-4708,9907,13874,-3967,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,54604,72268,-17664,-75,-176,741
196,"Phoenix-Mesa-Scottsdale, AZ",38060,2039,3187,-1148,2020,3202,-1182,1756,3198,-1442,1189,2318,-1129,24.0,23.0,24.0,24.0,24.0,24.0,25.0,24.0,7004,11905,-4901,-34,-260,313
197,"Pinehurst-Southern Pines, NC",38240,0,21,-21,0,36,-36,0,0,0,0,0,0,169.0,176.0,179.0,171.0,130.0,135.0,118.0,125.0,0,57,-57,-15,36,0
198,"Pittsburgh, PA",38300,1153,1401,-248,1212,1531,-319,984,1189,-205,722,772,-50,37.0,43.0,35.0,43.0,33.0,44.0,32.0,46.0,4071,4893,-822,-71,114,155
199,"Pittsfield, MA",38340,115,272,-157,121,279,-158,98,194,-96,59,82,-23,116.0,106.0,115.0,105.0,97.0,97.0,98.0,104.0,393,827,-434,-1,62,73
200,"Plattsburgh, NY",38460,49,26,23,0,46,-46,0,0,0,0,0,0,136.0,171.0,179.0,163.0,130.0,135.0,118.0,125.0,49,72,-23,-69,46,0
201,"Port St. Lucie, FL",38940,682,1844,-1162,844,1772,-928,359,1406,-1047,180,1103,-923,55.0,35.0,45.0,38.0,57.0,39.0,67.0,36.0,2065,6125,-4060,234,-119,124
202,"Portland-South Portland, ME",38860,186,472,-286,299,430,-131,155,335,-180,112,265,-153,98.0,83.0,84.0,93.0,86.0,77.0,80.0,73.0,752,1502,-750,155,-49,27
203,"Portland-Vancouver-Hillsboro, OR-WA",38900,658,810,-152,523,1043,-520,350,750,-400,272,541,-269,56.0,63.0,61.0,55.0,59.0,55.0,56.0,54.0,1803,3144,-1341,-368,120,131
204,"Pottsville, PA",39060,16,107,-91,20,58,-38,0,0,0,0,0,0,163.0,131.0,169.0,154.0,130.0,135.0,118.0,125.0,36,165,-129,53,38,0
205,"Prescott, AZ",39140,0,75,-75,0,39,-39,0,0,0,0,0,0,169.0,141.0,179.0,168.0,130.0,135.0,118.0,125.0,0,114,-114,36,39,0
206,"Providence-Warwick, RI-MA",39300,1758,2091,-333,1519,2115,-596,1144,1477,-333,792,1123,-331,26.0,34.0,30.0,36.0,29.0,37.0,29.0,34.0,5213,6806,-1593,-263,263,2
207,"Provo-Orem, UT",39340,136,37,99,48,51,-3,53,53,0,63,0,63,111.0,164.0,147.0,158.0,113.0,121.0,97.0,125.0,300,141,159,-102,3,63
208,"Punta Gorda, FL",39460,112,417,-305,111,455,-344,0,164,-164,0,115,-115,117.0,88.0,116.0,91.0,130.0,103.0,118.0,95.0,223,1151,-928,-39,180,49
209,"Raleigh, NC",39580,1557,3476,-1919,1467,3591,-2124,1222,3793,-2571,893,2393,-1500,27.0,21.0,31.0,20.0,28.0,19.0,28.0,23.0,5139,13253,-8114,-205,-447,1071
210,"Rapid City, SD",39660,0,45,-45,0,0,0,0,0,0,0,0,0,169.0,157.0,179.0,194.0,130.0,135.0,118.0,125.0,0,45,-45,45,0,0
211,"Reading, PA",39740,810,1359,-549,763,1370,-607,561,966,-405,398,811,-413,49.0,45.0,50.0,49.0,43.0,49.0,41.0,45.0,2532,4506,-1974,-58,202,-8
212,"Reno, NV",39900,65,83,-18,87,39,48,0,34,-34,0,0,0,130.0,136.0,125.0,168.0,130.0,130.0,118.0,125.0,152,156,-4,66,-82,34
213,"Richmond, VA",40060,840,1560,-720,887,1628,-741,532,1110,-578,465,690,-225,47.0,39.0,43.0,40.0,44.0,45.0,40.0,48.0,2724,4988,-2264,-21,163,353
214,"Riverside-San Bernardino-Ontario, CA",40140,830,977,-147,837,1140,-303,447,541,-94,344,361,-17,48.0,55.0,47.0,51.0,49.0,68.0,47.0,67.0,2458,3019,-561,-156,209,77
215,"Roanoke, VA",40220,0,20,-20,0,0,0,0,0,0,0,0,0,169.0,177.0,179.0,194.0,130.0,135.0,118.0,125.0,0,20,-20,20,0,0
216,"Rochester, MN",40340,0,56,-56,67,50,17,0,0,0,0,0,0,169.0,152.0,136.0,159.0,130.0,135.0,118.0,125.0,67,106,-39,73,-17,0
217,"Rochester, NY",40380,1240,1292,-52,1018,1478,-460,885,923,-38,571,688,-117,34.0,48.0,38.0,45.0,35.0,50.0,36.0,49.0,3714,4381,-667,-408,422,-79
218,"Rockford, IL",40420,0,0,0,0,69,-69,0,0,0,0,0,0,169.0,187.0,179.0,146.0,130.0,135.0,118.0,125.0,0,69,-69,-69,69,0
219,"Rutland, VT",40860,0,11,-11,0,0,0,0,0,0,0,0,0,169.0,186.0,179.0,194.0,130.0,135.0,118.0,125.0,0,11,-11,11,0,0
220,"Sacramento--Roseville--Arden-Arcade, CA",40900,287,315,-28,292,500,-208,187,290,-103,173,163,10,85.0,104.0,85.0,86.0,79.0,81.0,68.0,83.0,939,1268,-329,-180,105,113
221,"Salinas, CA",41500,41,48,-7,41,72,-31,0,30,-30,21,0,21,143.0,155.0,153.0,143.0,130.0,133.0,117.0,125.0,103,150,-47,-24,1,51
222,"Salisbury, MD-DE",41540,131,605,-474,51,663,-612,0,468,-468,0,140,-140,112.0,72.0,145.0,71.0,130.0,73.0,118.0,89.0,182,1876,-1694,-138,144,328
223,"Salt Lake City, UT",41620,413,467,-54,345,472,-127,235,209,26,134,110,24,70.0,84.0,77.0,88.0,69.0,94.0,75.0,98.0,1127,1258,-131,-73,153,-2
224,"San Antonio-New Braunfels, TX",41700,543,911,-368,622,989,-367,326,749,-423,222,400,-178,59.0,60.0,56.0,58.0,61.0,56.0,61.0,63.0,1713,3049,-1336,1,-56,245
225,"San Diego-Carlsbad, CA",41740,2317,2777,-460,2181,2896,-715,1913,2982,-1069,1496,2296,-800,22.0,26.0,22.0,26.0,20.0,25.0,22.0,25.0,7907,10951,-3044,-255,-354,269
226,"San Francisco-Oakland-Hayward, CA",41860,4226,6728,-2502,4397,6698,-2301,3680,6889,-3209,2979,4992,-2013,13.0,12.0,13.0,13.0,11.0,12.0,12.0,12.0,15282,25307,-10025,201,-908,1196
227,"San Jose-Sunnyvale-Santa Clara, CA",41940,1274,2170,-896,1345,2254,-909,1097,2270,-1173,1189,1528,-339,33.0,29.0,33.0,30.0,30.0,29.0,25.0,31.0,4905,8222,-3317,-13,-264,834
228,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,39,36,3,27,13,14,0,0,0,0,0,0,144.0,165.0,162.0,190.0,130.0,135.0,118.0,125.0,66,49,17,11,-14,0
229,"Santa Cruz-Watsonville, CA",42100,44,53,-9,57,60,-3,25,69,-44,0,30,-30,140.0,153.0,143.0,152.0,129.0,120.0,118.0,122.0,126,212,-86,6,-41,14
230,"Santa Fe, NM",42140,65,75,-10,66,81,-15,26,70,-44,23,36,-13,130.0,141.0,137.0,139.0,128.0,119.0,115.0,118.0,180,262,-82,-5,-29,31
231,"Santa Maria-Santa Barbara, CA",42200,112,148,-36,105,132,-27,51,97,-46,70,105,-35,117.0,123.0,118.0,125.0,115.0,110.0,92.0,99.0,338,482,-144,9,-19,11
232,"Santa Rosa, CA",42220,45,109,-64,64,108,-44,44,90,-46,29,34,-5,139.0,130.0,138.0,131.0,118.0,112.0,111.0,119.0,182,341,-159,20,-2,41
233,"Savannah, GA",42340,212,367,-155,276,370,-94,80,169,-89,43,127,-84,94.0,97.0,88.0,99.0,103.0,101.0,103.0,93.0,611,1033,-422,61,5,5
234,"Scranton--Wilkes-Barre--Hazleton, PA",42540,1515,3043,-1528,1543,2569,-1026,963,2157,-1194,736,1707,-971,28.0,25.0,28.0,28.0,34.0,30.0,30.0,29.0,4757,9476,-4719,502,-168,223
235,"Seattle-Tacoma-Bellevue, WA",42660,1969,2565,-596,1880,3043,-1163,1603,2578,-975,1073,1791,-718,25.0,28.0,25.0,25.0,25.0,26.0,26.0,27.0,6525,9977,-3452,-567,188,257
236,"Sebastian-Vero Beach, FL",42680,124,380,-256,128,520,-392,45,304,-259,30,212,-182,114.0,95.0,113.0,82.0,117.0,80.0,110.0,79.0,327,1416,-1089,-136,133,77
237,"Sebring, FL",42700,15,27,-12,0,0,0,0,0,0,0,0,0,164.0,170.0,179.0,194.0,130.0,135.0,118.0,125.0,15,27,-12,12,0,0
238,"South Bend-Mishawaka, IN-MI",43780,35,28,7,23,19,4,0,0,0,0,0,0,148.0,169.0,166.0,185.0,130.0,135.0,118.0,125.0,58,47,11,-3,-4,0
239,"Spartanburg, SC",43900,33,0,33,24,162,-138,0,0,0,0,0,0,149.0,187.0,165.0,119.0,130.0,135.0,118.0,125.0,57,162,-105,-171,138,0
240,"Spokane-Spokane Valley, WA",44060,10,12,-2,29,0,29,0,0,0,0,0,0,168.0,185.0,160.0,194.0,130.0,135.0,118.0,125.0,39,12,27,31,-29,0
241,"Springfield, MA",44140,709,950,-241,488,783,-295,380,574,-194,277,403,-126,53.0,56.0,63.0,67.0,53.0,66.0,55.0,62.0,1854,2710,-856,-54,101,68
242,"St. George, UT",41100,0,0,0,17,0,17,0,0,0,0,0,0,169.0,187.0,172.0,194.0,130.0,135.0,118.0,125.0,17,0,17,17,-17,0
243,"St. Louis, MO-IL",41180,534,512,22,471,634,-163,265,311,-46,224,166,58,60.0,78.0,65.0,74.0,64.0,79.0,60.0,82.0,1494,1623,-129,-185,117,104
244,"State College, PA",44300,139,61,78,101,50,51,29,0,29,23,23,0,108.0,148.0,121.0,159.0,126.0,135.0,115.0,124.0,292,134,158,-27,-22,-29
245,"Stockton-Lodi, CA",44700,28,19,9,24,56,-32,0,0,0,0,0,0,152.0,178.0,165.0,155.0,130.0,135.0,118.0,125.0,52,75,-23,-41,32,0
246,"Summit Park, UT",44920,0,22,-22,0,34,-34,0,0,0,0,0,0,169.0,175.0,179.0,173.0,130.0,135.0,118.0,125.0,0,56,-56,-12,34,0
247,"Sumter, SC",44940,17,19,-2,22,43,-21,0,0,0,0,0,0,162.0,178.0,167.0,166.0,130.0,135.0,118.0,125.0,39,62,-23,-19,21,0
248,"Syracuse, NY",45060,963,917,46,889,983,-94,611,812,-201,514,590,-76,42.0,58.0,42.0,59.0,39.0,52.0,38.0,53.0,2977,3302,-325,-140,-107,125
249,"Tallahassee, FL",45220,176,181,-5,275,68,207,62,35,27,65,0,65,102.0,116.0,89.0,147.0,110.0,129.0,96.0,125.0,578,284,294,212,-180,38
250,"Tampa-St. Petersburg-Clearwater, FL",45300,5647,7462,-1815,4437,7759,-3322,2859,7182,-4323,1984,5675,-3691,11.0,10.0,12.0,10.0,13.0,11.0,15.0,11.0,14927,28078,-13151,-1507,-1001,632
251,"The Villages, FL",45540,31,385,-354,34,481,-447,0,239,-239,0,154,-154,150.0,92.0,156.0,87.0,130.0,90.0,118.0,86.0,65,1259,-1194,-93,208,85
252,"Tifton, GA",45700,33,0,33,0,0,0,0,0,0,0,0,0,149.0,187.0,179.0,194.0,130.0,135.0,118.0,125.0,33,0,33,-33,0,0
253,"Toledo, OH",45780,65,62,3,42,70,-28,27,0,27,0,0,0,130.0,147.0,152.0,145.0,127.0,135.0,118.0,125.0,134,132,2,-31,55,-27
254,"Torrington, CT",45860,412,624,-212,422,714,-292,297,592,-295,312,424,-112,71.0,70.0,70.0,69.0,62.0,64.0,52.0,60.0,1443,2354,-911,-80,-3,183
255,"Trenton, NJ",45940,5697,6914,-1217,5640,6774,-1134,5313,6170,-857,3962,4805,-843,9.0,11.0,8.0,12.0,7.0,13.0,8.0,13.0,20612,24663,-4051,83,277,14
256,"Tucson, AZ",46060,290,526,-236,287,464,-177,177,279,-102,78,147,-69,84.0,75.0,86.0,89.0,83.0,83.0,88.0,88.0,832,1416,-584,59,75,33
257,"Tulsa, OK",46140,83,75,8,68,109,-41,35,30,5,31,40,-9,124.0,141.0,135.0,130.0,122.0,133.0,109.0,114.0,217,254,-37,-49,46,-14
258,"Tuscaloosa, AL",46220,16,0,16,12,0,12,0,0,0,0,0,0,163.0,187.0,177.0,194.0,130.0,135.0,118.0,125.0,28,0,28,-4,-12,0
259,"Urban Honolulu, HI",46520,691,807,-116,672,836,-164,362,722,-360,346,438,-92,54.0,64.0,52.0,65.0,56.0,57.0,46.0,59.0,2071,2803,-732,-48,-196,268
260,"Utica-Rome, NY",46540,211,375,-164,238,411,-173,149,288,-139,114,276,-162,95.0,96.0,93.0,95.0,87.0,82.0,79.0,71.0,712,1350,-638,-9,34,-23
261,"Vallejo-Fairfield, CA",46700,20,48,-28,69,64,5,0,0,0,0,0,0,159.0,155.0,134.0,149.0,130.0,135.0,118.0,125.0,89,112,-23,33,-5,0
262,"Vineland-Bridgeton, NJ",47220,237,323,-86,141,219,-78,35,40,-5,0,0,0,88.0,100.0,108.0,112.0,122.0,127.0,118.0,125.0,413,582,-169,8,73,5
263,"Vineyard Haven, MA",47240,0,0,0,0,19,-19,0,0,0,0,0,0,169.0,187.0,179.0,185.0,130.0,135.0,118.0,125.0,0,19,-19,-19,19,0
264,"Virginia Beach-Norfolk-Newport News, VA-NC",47260,1426,2142,-716,1426,2247,-821,580,1532,-952,530,859,-329,30.0,31.0,32.0,31.0,41.0,36.0,37.0,43.0,3962,6780,-2818,-105,-131,623
265,"Visalia-Porterville, CA",47300,14,0,14,0,0,0,0,0,0,0,0,0,165.0,187.0,179.0,194.0,130.0,135.0,118.0,125.0,14,0,14,-14,0,0
266,"Waco, TX",47380,0,0,0,0,15,-15,0,0,0,0,0,0,169.0,187.0,179.0,189.0,130.0,135.0,118.0,125.0,0,15,-15,-15,15,0
267,"Warner Robins, GA",47580,0,0,0,0,25,-25,0,0,0,0,0,0,169.0,187.0,179.0,182.0,130.0,135.0,118.0,125.0,0,25,-25,-25,25,0
268,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,9053,11322,-2269,9350,11662,-2312,7689,12237,-4548,7660,8391,-731,3.0,4.0,3.0,5.0,4.0,3.0,3.0,5.0,33752,43612,-9860,-43,-2236,3817
269,"Watertown-Fort Drum, NY",48060,240,290,-50,214,266,-52,0,90,-90,51,47,4,87.0,105.0,97.0,106.0,130.0,112.0,102.0,111.0,505,693,-188,-2,-38,94
270,"Wichita, KS",48620,41,14,27,75,64,11,0,0,0,0,0,0,143.0,183.0,130.0,149.0,130.0,135.0,118.0,125.0,116,78,38,-16,-11,0
271,"Williamsport, PA",48700,51,24,27,0,49,-49,0,0,0,0,0,0,134.0,173.0,179.0,160.0,130.0,135.0,118.0,125.0,51,73,-22,-76,49,0
272,"Wilmington, NC",48900,85,382,-297,160,512,-352,66,250,-184,0,86,-86,123.0,94.0,106.0,84.0,109.0,87.0,118.0,103.0,311,1230,-919,-55,168,98
273,"Wilson, NC",48980,0,25,-25,0,27,-27,0,0,0,0,0,0,169.0,172.0,179.0,180.0,130.0,135.0,118.0,125.0,0,52,-52,-2,27,0
274,"Winston-Salem, NC",49180,138,391,-253,193,365,-172,95,165,-70,84,130,-46,109.0,91.0,101.0,101.0,98.0,102.0,85.0,91.0,510,1051,-541,81,102,24
275,"Worcester, MA-CT",49340,730,1033,-303,748,1104,-356,527,641,-114,378,675,-297,52.0,54.0,51.0,52.0,45.0,61.0,44.0,50.0,2383,3453,-1070,-53,242,-183
276,"York-Hanover, PA",49620,220,591,-371,172,503,-331,108,251,-143,34,135,-101,93.0,74.0,104.0,85.0,93.0,86.0,106.0,90.0,534,1480,-946,40,188,42
277,"Youngstown-Warren-Boardman, OH-PA",49660,16,87,-71,14,86,-72,0,0,0,0,0,0,163.0,135.0,175.0,138.0,130.0,135.0,118.0,125.0,30,173,-143,-1,72,0
