CBSA,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,NPOPCHG2015,NPOPCHG2016,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016
10100,"Aberdeen, SD",Micropolitan Statistical Area,40602,40602,40723,41038,41624,42290,42450,42708,43080,121,315,586,666,160,258,372,135,530,498,573,537,528,532,101,414,441,439,422,398,390,34,116,57,134,115,130,142,13,128,136,134,147,153,152,73,83,382,414,-99,-5,101,86,211,518,548,48,148,253,1,-12,11,-16,-3,-20,-23
10140,"Aberdeen, WA",Micropolitan Statistical Area,72797,72804,72863,72349,71746,70989,70779,71023,71628,59,-514,-603,-757,-210,244,605,218,828,799,794,746,768,757,196,799,768,846,802,822,825,22,29,31,-52,-56,-54,-68,11,59,44,37,43,48,50,27,-594,-684,-690,-149,208,611,38,-535,-640,-653,-106,256,661,-1,-8,6,-52,-48,42,12
10180,"Abilene, TX",Metropolitan Statistical Area,165252,165252,165603,166651,167540,167609,168465,169893,170364,351,1048,889,69,856,1428,471,539,2295,2357,2389,2383,2400,2445,404,1506,1587,1693,1596,1692,1755,135,789,770,696,787,708,690,89,222,535,407,399,457,381,127,13,-418,-1088,-279,276,-599,216,235,117,-681,120,733,-218,0,24,2,54,-51,-13,-1
10220,"Ada, OK",Micropolitan Statistical Area,37492,37492,37602,37714,38039,38165,38263,38268,38330,110,112,325,126,98,5,62,143,581,561,517,563,512,515,65,467,405,412,398,480,510,78,114,156,105,165,32,5,4,18,32,39,45,46,44,31,-8,136,-33,-87,-96,32,35,10,168,6,-42,-50,76,-3,-12,1,15,-25,23,-19
10300,"Adrian, MI",Micropolitan Statistical Area,99892,99892,99635,99302,98994,98784,98696,98389,98504,-257,-333,-308,-210,-88,-307,115,261,1023,1060,1053,1078,1052,1037,235,947,874,1017,992,1018,985,26,76,186,36,86,34,52,20,55,26,28,32,37,36,-324,-419,-531,-270,-173,-422,103,-304,-364,-505,-242,-141,-385,139,21,-45,11,-4,-33,44,-76
10420,"Akron, OH",Metropolitan Statistical Area,703200,703203,703124,703115,702477,703433,704355,703358,702221,-79,-9,-638,956,922,-997,-1137,1975,7580,7554,7584,7697,7642,7641,1595,6659,7034,7018,6850,7212,7193,380,921,520,566,847,430,448,260,1215,1192,1233,1358,1399,1364,-715,-1816,-2349,-931,-812,-2767,-2470,-455,-601,-1157,302,546,-1368,-1106,-4,-329,-1,88,-471,-59,-479
10460,"Alamogordo, NM",Micropolitan Statistical Area,63797,63799,64356,65494,66016,65813,64994,64430,65410,557,1138,522,-203,-819,-564,980,207,906,937,813,885,921,892,95,566,528,569,600,596,602,112,340,409,244,285,325,290,74,203,531,448,468,527,458,354,614,-412,-852,-1568,-1378,264,428,817,119,-404,-1100,-851,722,17,-19,-6,-43,-4,-38,-32
10500,"Albany, GA",Metropolitan Statistical Area,157308,157500,157663,157814,157322,155953,155154,153508,152219,163,151,-492,-1369,-799,-1646,-1289,544,2333,2182,2212,2059,2010,1937,410,1241,1396,1461,1415,1481,1515,134,1092,786,751,644,529,422,19,92,136,100,107,118,100,10,-1112,-1438,-2184,-1538,-2291,-1887,29,-1020,-1302,-2084,-1431,-2173,-1787,0,79,24,-36,-12,-2,76
10540,"Albany, OR",Metropolitan Statistical Area,116672,116672,116888,118127,118332,118496,119188,120444,122849,216,1239,205,164,692,1256,2405,386,1453,1445,1378,1453,1455,1436,260,1127,1125,1137,1215,1293,1290,126,326,320,241,238,162,146,13,33,-1,0,6,11,12,79,878,-105,-103,435,976,2126,92,911,-106,-103,441,987,2138,-2,2,-9,26,13,107,121
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,870716,870692,871103,873214,875637,878401,879775,880803,881839,411,2111,2423,2764,1374,1028,1036,2376,9103,9116,9196,9172,9102,9158,1791,7626,7651,7766,7551,7768,8058,585,1477,1465,1430,1621,1334,1100,542,2263,2530,2359,2569,2699,2595,-694,-1508,-1514,-838,-2436,-2560,-2197,-152,755,1016,1521,133,139,398,-22,-121,-58,-187,-380,-445,-462
10620,"Albemarle, NC",Micropolitan Statistical Area,60585,60585,60551,60480,60485,60595,60595,60586,60791,-34,-71,5,110,0,-9,205,140,681,635,629,695,678,695,135,625,690,644,671,693,704,5,56,-55,-15,24,-15,-9,7,32,19,29,30,29,30,-42,-121,49,77,-52,-20,181,-35,-89,68,106,-22,9,211,-4,-38,-8,19,-2,-3,3
10660,"Albert Lea, MN",Micropolitan Statistical Area,31255,31255,31210,31093,31035,30936,30768,30570,30446,-45,-117,-58,-99,-168,-198,-124,94,358,328,365,346,336,327,107,363,359,313,360,382,357,-13,-5,-31,52,-14,-46,-30,5,20,13,12,15,15,16,-37,-113,-40,-180,-144,-154,-79,-32,-93,-27,-168,-129,-139,-63,0,-19,0,17,-25,-13,-31
10700,"Albertville, AL",Micropolitan Statistical Area,93019,93019,93150,93885,94182,94318,94320,94693,95157,131,735,297,136,2,373,464,323,1310,1291,1212,1299,1284,1280,269,1015,1054,1104,1095,1105,1145,54,295,237,108,204,179,135,29,120,43,76,96,102,103,46,351,26,-99,-268,13,225,75,471,69,-23,-172,115,328,2,-31,-9,51,-30,79,1
10740,"Albuquerque, NM",Metropolitan Statistical Area,887077,887080,889639,896818,900781,902911,903658,905174,909906,2559,7179,3963,2130,747,1516,4732,2759,11171,11025,10727,10469,10279,10272,1417,6716,6616,6826,7018,7546,7602,1342,4455,4409,3901,3451,2733,2670,230,792,1173,881,1049,1165,1065,946,2133,-1548,-2709,-3612,-2608,963,1176,2925,-375,-1828,-2563,-1443,2028,41,-201,-71,57,-141,226,34
10760,"Alexander City, AL",Micropolitan Statistical Area,41616,41618,41512,41459,41144,41139,41027,40755,40727,-106,-53,-315,-5,-112,-272,-28,128,466,498,445,455,487,450,162,506,528,526,513,538,543,-34,-40,-30,-81,-58,-51,-93,6,16,9,1,5,7,8,-80,-15,-300,54,-34,-250,72,-74,1,-291,55,-29,-243,80,2,-14,6,21,-25,22,-15
10780,"Alexandria, LA",Metropolitan Statistical Area,153922,153922,154136,154426,154588,154828,154861,154662,154789,214,290,162,240,33,-199,127,501,2039,2025,2008,2140,2196,2152,373,1481,1587,1728,1555,1664,1621,128,558,438,280,585,532,531,34,127,160,122,140,145,142,58,-306,-435,-153,-644,-939,-479,92,-179,-275,-31,-504,-794,-337,-6,-89,-1,-9,-48,63,-67
10820,"Alexandria, MN",Micropolitan Statistical Area,36009,36009,35997,36275,36446,36545,36804,37057,37456,-12,278,171,99,259,253,399,98,383,400,407,414,416,426,100,380,379,413,374,397,430,-2,3,21,-6,40,19,-4,3,14,13,13,16,16,17,-11,203,143,63,188,193,406,-8,217,156,76,204,209,423,-2,58,-6,29,15,25,-20
10860,"Alice, TX",Micropolitan Statistical Area,40838,40838,40889,41216,41672,41697,41458,41456,41149,51,327,456,25,-239,-2,-307,167,656,597,675,694,668,680,121,386,384,432,405,404,404,46,270,213,243,289,264,276,2,2,10,15,21,21,22,2,72,232,-222,-557,-289,-595,4,74,242,-207,-536,-268,-573,1,-17,1,-11,8,2,-10
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,821173,821266,822129,825160,827294,827238,830452,833049,835652,863,3031,2134,-56,3214,2597,2603,2194,8715,8652,8630,8685,8503,8556,1957,7862,7632,8171,7820,8079,8032,237,853,1020,459,865,424,524,499,2315,2552,2602,3059,3129,3100,168,-14,-1419,-3446,-407,-1161,-635,667,2301,1133,-844,2652,1968,2465,-41,-123,-19,329,-303,205,-386
10940,"Alma, MI",Micropolitan Statistical Area,42476,42476,42425,42160,42039,42019,41607,41513,41202,-51,-265,-121,-20,-412,-94,-311,112,439,432,404,377,421,401,122,422,396,467,412,435,437,-10,17,36,-63,-35,-14,-36,4,15,4,5,7,7,7,-45,-327,-163,30,-400,-109,-284,-41,-312,-159,35,-393,-102,-277,0,30,2,8,16,22,2
10980,"Alpena, MI",Micropolitan Statistical Area,29598,29598,29539,29339,29208,29012,28932,28791,28704,-59,-200,-131,-196,-80,-141,-87,65,282,242,254,276,279,274,113,363,367,372,334,337,340,-48,-81,-125,-118,-58,-58,-66,2,6,2,2,2,2,2,-10,-104,-2,-93,0,-78,-16,-8,-98,0,-91,2,-76,-14,-3,-21,-6,13,-24,-7,-7
11020,"Altoona, PA",Metropolitan Statistical Area,127089,127076,127053,127178,126991,126419,126019,125506,124650,-23,125,-187,-572,-400,-513,-856,360,1388,1341,1385,1353,1321,1287,388,1595,1502,1666,1526,1623,1673,-28,-207,-161,-281,-173,-302,-386,10,28,33,33,36,37,36,1,255,-39,-377,-225,-394,-473,11,283,-6,-344,-189,-357,-437,-6,49,-20,53,-38,146,-33
11060,"Altus, OK",Micropolitan Statistical Area,26446,26446,26467,26418,26260,26186,25856,25520,25497,21,-49,-158,-74,-330,-336,-23,103,436,471,448,407,420,396,46,260,273,274,259,227,206,57,176,198,174,148,193,190,24,33,125,78,78,90,66,-56,-254,-492,-321,-560,-619,-285,-32,-221,-367,-243,-482,-529,-219,-4,-4,11,-5,4,0,6
11100,"Amarillo, TX",Metropolitan Statistical Area,251933,251933,252722,256008,257784,258952,260858,261613,263342,789,3286,1776,1168,1906,755,1729,936,3785,3702,3883,3953,3794,3789,599,2153,2197,2346,2315,2379,2324,337,1632,1505,1537,1638,1415,1465,134,636,697,768,871,901,882,305,1050,-442,-1252,-630,-1574,-627,439,1686,255,-484,241,-673,255,13,-32,16,115,27,13,9
11140,"Americus, GA",Micropolitan Statistical Area,37829,37827,37730,37135,36627,36428,36346,35906,35487,-97,-595,-508,-199,-82,-440,-419,129,482,510,430,425,412,397,125,364,394,345,342,377,379,4,118,116,85,83,35,18,3,14,11,9,11,13,13,-104,-734,-646,-281,-199,-512,-439,-101,-720,-635,-272,-188,-499,-426,0,7,11,-12,23,24,-11
11180,"Ames, IA",Metropolitan Statistical Area,89542,89542,89634,90864,91799,93569,95366,96346,97090,92,1230,935,1770,1797,980,744,258,992,904,957,951,880,886,86,494,437,477,536,490,502,172,498,467,480,415,390,384,134,652,645,783,853,894,875,-219,112,-171,520,536,-284,-472,-85,764,474,1303,1389,610,403,5,-32,-6,-13,-7,-20,-43
11220,"Amsterdam, NY",Micropolitan Statistical Area,50219,50257,50286,49932,49848,49789,49747,49673,49276,29,-354,-84,-59,-42,-74,-397,148,566,554,591,607,623,608,110,594,565,627,580,547,556,38,-28,-11,-36,27,76,52,12,85,102,88,117,119,118,-10,-386,-176,-149,-171,-251,-560,2,-301,-74,-61,-54,-132,-442,-11,-25,1,38,-15,-18,-7
11260,"Anchorage, AK",Metropolitan Statistical Area,380821,380821,383181,388228,392318,397066,398625,399432,402557,2360,5047,4090,4748,1559,807,3125,1482,6122,5900,6044,6172,6147,6074,417,2019,2023,2140,2146,2327,2347,1065,4103,3877,3904,4026,3820,3727,356,831,1521,1262,1264,1418,1131,902,147,-1315,-230,-3970,-4341,-1682,1258,978,206,1032,-2706,-2923,-551,37,-34,7,-188,239,-90,-51
11380,"Andrews, TX",Micropolitan Statistical Area,14786,14786,14835,15390,16107,16776,17405,18026,17760,49,555,717,669,629,621,-266,58,261,287,331,331,337,348,13,124,131,121,131,101,119,45,137,156,210,200,236,229,7,11,0,6,11,11,11,0,400,547,452,410,374,-500,7,411,547,458,421,385,-489,-3,7,14,1,8,0,-6
11420,"Angola, IN",Micropolitan Statistical Area,34185,34183,34135,34070,34164,34346,34427,34343,34116,-48,-65,94,182,81,-84,-227,84,366,356,379,384,368,366,63,292,284,313,310,320,322,21,74,72,66,74,48,44,1,5,10,24,25,28,28,-69,-132,15,100,-11,-123,-305,-68,-127,25,124,14,-95,-277,-1,-12,-3,-8,-7,-37,6
11460,"Ann Arbor, MI",Metropolitan Statistical Area,344791,345066,345568,349071,351299,354573,358980,360847,364709,502,3503,2228,3274,4407,1867,3862,978,3824,3781,3664,3750,3653,3709,547,2059,2077,2140,2150,2216,2323,431,1765,1704,1524,1600,1437,1386,441,1744,1879,1991,2171,2240,2195,-387,79,-1363,-284,761,-1885,309,54,1823,516,1707,2932,355,2504,17,-85,8,43,-125,75,-28
11500,"Anniston-Oxford-Jacksonville, AL",Metropolitan Statistical Area,118572,118586,118468,117736,117208,116475,115837,115285,114611,-118,-732,-528,-733,-638,-552,-674,318,1384,1357,1309,1317,1289,1237,313,1326,1357,1411,1392,1427,1441,5,58,0,-102,-75,-138,-204,6,39,63,26,24,29,27,-124,-788,-591,-647,-518,-457,-462,-118,-749,-528,-621,-494,-428,-435,-5,-41,0,-10,-69,14,-35
11540,"Appleton, WI",Metropolitan Statistical Area,225666,225666,225937,227502,228669,229935,231525,233056,234079,271,1565,1167,1266,1590,1531,1023,747,2943,2841,2813,2762,2864,2822,369,1533,1545,1557,1658,1733,1705,378,1410,1296,1256,1104,1131,1117,42,153,188,172,204,215,214,-152,48,-314,-232,333,117,-266,-110,201,-126,-60,537,332,-52,3,-46,-3,70,-51,68,-42
11580,"Arcadia, FL",Micropolitan Statistical Area,34862,34862,34924,34670,34781,34641,35094,35355,35800,62,-254,111,-140,453,261,445,100,424,383,357,380,367,372,56,311,278,300,295,287,312,44,113,105,57,85,80,60,19,126,101,123,151,167,169,0,-511,-94,-266,211,-5,191,19,-385,7,-143,362,162,360,-1,18,-1,-54,6,19,25
11620,"Ardmore, OK",Micropolitan Statistical Area,47557,47726,47791,48085,48099,48590,48738,48666,48556,65,294,14,491,148,-72,-110,155,626,626,666,688,687,685,115,643,591,643,624,620,667,40,-17,35,23,64,67,18,10,18,20,20,27,30,30,16,290,-36,421,76,-155,-192,26,308,-16,441,103,-125,-162,-1,3,-5,27,-19,-14,34
11660,"Arkadelphia, AR",Micropolitan Statistical Area,22995,22993,22944,22943,22807,22650,22663,22642,22657,-49,-1,-136,-157,13,-21,15,67,242,253,222,243,250,244,94,269,247,249,233,247,247,-27,-27,6,-27,10,3,-3,6,12,9,9,13,14,14,-28,29,-157,-154,-12,-28,-10,-22,41,-148,-145,1,-14,4,0,-15,6,15,2,-10,14
11680,"Arkansas City-Winfield, KS",Micropolitan Statistical Area,36311,36311,36300,36240,36262,36181,35911,35777,35753,-11,-60,22,-81,-270,-134,-24,117,479,452,440,480,448,450,69,454,439,430,419,433,408,48,25,13,10,61,15,42,13,43,39,52,55,58,58,-71,-126,-32,-161,-385,-218,-103,-58,-83,7,-109,-330,-160,-45,-1,-2,2,18,-1,11,-21
11700,"Asheville, NC",Metropolitan Statistical Area,424858,424853,425461,428403,431888,437020,441258,446138,452319,608,2942,3485,5132,4238,4880,6181,1071,4350,4396,4436,4349,4572,4510,1133,4517,4410,4742,4704,5023,5077,-62,-167,-14,-306,-355,-451,-567,87,289,130,149,208,230,226,568,2743,3374,5017,4095,4614,6299,655,3032,3504,5166,4303,4844,6525,15,77,-5,272,290,487,223
11740,"Ashland, OH",Micropolitan Statistical Area,53139,53139,53319,53261,53247,53193,53244,53380,53652,180,-58,-14,-54,51,136,272,165,591,607,629,650,596,606,91,569,538,577,529,566,579,74,22,69,52,121,30,27,13,55,83,113,124,134,132,87,-126,-168,-240,-186,-72,118,100,-71,-85,-127,-62,62,250,6,-9,2,21,-8,44,-5
11780,"Ashtabula, OH",Micropolitan Statistical Area,101497,101488,101394,101080,100251,99739,99112,98544,98231,-94,-314,-829,-512,-627,-568,-313,284,1141,1075,1120,1094,1063,1035,283,1154,1164,1189,1140,1123,1118,1,-13,-89,-69,-46,-60,-83,7,65,62,69,89,91,90,-104,-335,-813,-522,-640,-574,-254,-97,-270,-751,-453,-551,-483,-164,2,-31,11,10,-30,-25,-66
11820,"Astoria, OR",Micropolitan Statistical Area,37039,37029,37079,37202,37351,37093,37428,37795,38632,50,123,149,-258,335,367,837,118,418,428,416,416,401,410,74,359,365,428,383,399,398,44,59,63,-12,33,2,12,7,26,56,35,32,44,29,1,52,36,-297,279,318,785,8,78,92,-262,311,362,814,-2,-14,-6,16,-9,3,11
11860,"Atchison, KS",Micropolitan Statistical Area,16924,16924,16868,16778,16793,16696,16509,16409,16380,-56,-90,15,-97,-187,-100,-29,52,216,206,197,220,183,199,68,186,176,167,166,186,171,-16,30,30,30,54,-3,28,1,0,5,2,3,3,3,-43,-122,-18,-113,-249,-112,-56,-42,-122,-13,-111,-246,-109,-53,2,2,-2,-16,5,12,-4
11900,"Athens, OH",Micropolitan Statistical Area,64757,64772,65221,65102,64605,64432,64592,65699,66186,449,-119,-497,-173,160,1107,487,138,553,566,538,562,552,554,155,520,458,448,455,489,491,-17,33,108,90,107,63,63,53,256,249,272,301,310,306,386,-411,-871,-522,-231,750,123,439,-155,-622,-250,70,1060,429,27,3,17,-13,-17,-16,-5
11940,"Athens, TN",Micropolitan Statistical Area,52266,52278,52197,52356,52429,52405,52710,52636,52850,-81,159,73,-24,305,-74,214,105,569,598,543,584,561,556,171,663,587,641,718,653,637,-66,-94,11,-98,-134,-92,-81,6,60,58,87,93,98,96,-16,198,3,-28,342,-74,228,-10,258,61,59,435,24,324,-5,-5,1,15,4,-6,-29
11980,"Athens, TX",Micropolitan Statistical Area,78532,78534,78654,78692,78951,78600,79196,79416,79901,120,38,259,-351,596,220,485,223,934,922,885,891,873,882,270,930,941,1047,999,1063,1086,-47,4,-19,-162,-108,-190,-204,7,6,3,11,17,19,19,159,54,286,-174,714,320,688,166,60,289,-163,731,339,707,1,-26,-11,-26,-27,71,-18
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,192541,192541,193450,194634,196370,197793,198787,202822,205290,909,1184,1736,1423,994,4035,2468,590,2248,2219,2209,2200,2206,2226,349,1259,1233,1310,1386,1380,1390,241,989,986,899,814,826,836,103,424,412,421,478,496,493,534,-287,311,80,-387,2659,1147,637,137,723,501,91,3155,1640,31,58,27,23,89,54,-8
12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,5286728,5286725,5303929,5373558,5452145,5517230,5605765,5699050,5789700,17204,69629,78587,65085,88535,93285,90650,18136,73833,72545,71142,72490,73525,73772,7717,32048,31381,33675,34079,36893,38161,10419,41785,41164,37467,38411,36632,35611,3916,16340,15655,15178,17243,18095,17796,2580,9567,21617,12039,32294,38624,36645,6496,25907,37272,27217,49537,56719,54441,289,1937,151,401,587,-66,598
12100,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,274549,274540,274757,275017,275604,275784,274715,273035,270991,217,260,587,180,-1069,-1680,-2044,802,3412,3378,3240,3181,3014,3019,546,2566,2460,2653,2536,2724,2779,256,846,918,587,645,290,240,351,1529,1426,1333,1490,1551,1518,-381,-2025,-1792,-1698,-3101,-3693,-3718,-30,-496,-366,-365,-1611,-2142,-2200,-9,-90,35,-42,-103,172,-84
12120,"Atmore, AL",Micropolitan Statistical Area,38319,38319,38314,38227,38063,37877,37878,37827,37728,-5,-87,-164,-186,1,-51,-99,121,484,447,441,446,426,440,63,440,480,447,467,467,458,58,44,-33,-6,-21,-41,-18,2,2,3,1,1,2,2,-55,-116,-134,-193,20,7,-85,-53,-114,-131,-192,21,9,-83,-10,-17,0,12,1,-19,2
12140,"Auburn, IN",Micropolitan Statistical Area,42223,42223,42295,42457,42304,42376,42461,42557,42746,72,162,-153,72,85,96,189,155,517,520,496,520,582,548,68,389,364,399,407,431,399,87,128,156,97,113,151,149,2,17,5,4,6,7,7,-16,18,-321,-51,-7,-55,36,-14,35,-316,-47,-1,-48,43,-1,-1,7,22,-27,-7,-3
12180,"Auburn, NY",Micropolitan Statistical Area,80026,80003,79844,79811,79637,79242,78857,78316,77861,-159,-33,-174,-395,-385,-541,-455,216,819,792,795,735,788,764,204,740,737,775,721,734,697,12,79,55,20,14,54,67,9,59,77,72,82,84,84,-169,-185,-301,-483,-475,-540,-634,-160,-126,-224,-411,-393,-456,-550,-11,14,-5,-4,-6,-139,28
12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,140247,140296,140804,144123,148289,151411,154277,156767,158991,508,3319,4166,3122,2866,2490,2224,414,1631,1662,1828,1832,1892,1904,239,804,881,1043,1118,1093,1056,175,827,781,785,714,799,848,134,512,621,526,573,605,573,193,1932,2699,1769,1458,1057,769,327,2444,3320,2295,2031,1662,1342,6,48,65,42,121,29,34
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,564873,564873,566569,570925,576549,579840,583462,590047,594919,1696,4356,5624,3291,3622,6585,4872,1784,7398,7563,7191,7502,7417,7494,1224,4952,4873,5202,5257,5399,5570,560,2446,2690,1989,2245,2018,1924,266,628,1175,833,895,1099,826,850,1158,1700,293,503,3180,2087,1116,1786,2875,1126,1398,4279,2913,20,124,59,176,-21,288,35
12300,"Augusta-Waterville, ME",Micropolitan Statistical Area,122151,122151,122105,121787,121636,121185,121167,120209,120569,-46,-318,-151,-451,-18,-958,360,310,1192,1203,1203,1127,1224,1221,352,1287,1188,1291,1338,1300,1295,-42,-95,15,-88,-211,-76,-74,8,27,54,68,74,78,77,-7,-212,-218,-422,171,-414,440,1,-185,-164,-354,245,-336,517,-5,-38,-2,-9,-52,-546,-83
12380,"Austin, MN",Micropolitan Statistical Area,39163,39163,39188,39275,39332,39262,39266,39215,39163,25,87,57,-70,4,-51,-52,126,502,527,479,476,527,500,62,371,383,405,375,355,365,64,131,144,74,101,172,135,14,64,76,81,92,96,98,-45,-120,-160,-240,-191,-309,-307,-31,-56,-84,-159,-99,-213,-209,-8,12,-3,15,2,-10,22
12420,"Austin-Round Rock, TX",Metropolitan Statistical Area,1716289,1716320,1727656,1780819,1834319,1882856,1941389,1998104,2056405,11336,53163,53500,48537,58533,56715,58301,6153,25237,24844,25349,26076,26874,27375,1964,8307,8430,9034,9110,9894,10304,4189,16930,16414,16315,16966,16980,17071,1180,5252,5140,5615,6563,6964,6878,5685,29333,31152,26485,33349,32976,33395,6865,34585,36292,32100,39912,39940,40273,282,1648,794,122,1655,-205,957
12460,"Bainbridge, GA",Micropolitan Statistical Area,27842,27842,27810,27669,27494,27417,27269,27183,26822,-32,-141,-175,-77,-148,-86,-361,89,372,371,362,367,342,351,57,313,317,274,316,321,332,32,59,54,88,51,21,19,-2,1,-7,-5,-4,-4,-4,-62,-205,-227,-142,-210,-112,-388,-64,-204,-234,-147,-214,-116,-392,0,4,5,-18,15,9,12
12540,"Bakersfield, CA",Metropolitan Statistical Area,839631,839627,841676,849484,855808,864454,872138,879497,884788,2049,7808,6324,8646,7684,7359,5291,3487,14408,14210,14416,14091,14257,14173,1363,5401,5237,5649,5603,6098,6094,2124,9007,8973,8767,8488,8159,8079,331,1377,1374,1331,1639,1785,1720,-430,-2317,-4074,-1316,-2102,-2535,-4228,-99,-940,-2700,15,-463,-750,-2508,24,-259,51,-136,-341,-50,-280
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,2710489,2710583,2715705,2735170,2755622,2771765,2784254,2793837,2798886,5122,19465,20452,16143,12489,9583,5049,8460,33972,33636,33436,33629,34312,33978,5534,22610,22551,23653,23215,24980,25713,2926,11362,11085,9783,10414,9332,8265,2219,8499,8795,8050,8796,9346,8801,76,-49,873,-1655,-5842,-8639,-11262,2295,8450,9668,6395,2954,707,-2461,-99,-347,-301,-35,-879,-456,-755
12620,"Bangor, ME",Metropolitan Statistical Area,153923,153920,153872,153814,153589,153518,153500,152478,151806,-48,-58,-225,-71,-18,-1022,-672,416,1448,1481,1462,1452,1419,1380,374,1437,1489,1596,1462,1532,1577,42,11,-8,-134,-10,-113,-197,22,113,120,126,126,139,132,-116,-166,-329,-150,-83,-1114,-488,-94,-53,-209,-24,43,-975,-356,4,-16,-8,87,-51,66,-119
12660,"Baraboo, WI",Micropolitan Statistical Area,61976,61976,62031,62420,62560,63044,63387,63646,63949,55,389,140,484,343,259,303,202,769,769,750,768,769,760,113,606,572,565,610,578,624,89,163,197,185,158,191,136,21,76,58,65,72,75,74,-42,64,-113,218,67,-20,138,-21,140,-55,283,139,55,212,-13,86,-2,16,46,13,-45
12680,"Bardstown, KY",Micropolitan Statistical Area,43437,43437,43611,44022,44376,44501,44820,45117,45559,174,411,354,125,319,297,442,158,591,615,591,581,586,582,58,345,355,399,359,388,390,100,246,260,192,222,198,192,-3,-1,0,1,1,3,3,74,183,97,-79,117,72,253,71,182,97,-78,118,75,256,3,-17,-3,11,-21,24,-6
12700,"Barnstable Town, MA",Metropolitan Statistical Area,215888,215868,215908,215372,214915,214844,214858,214621,214276,40,-536,-457,-71,14,-237,-345,445,1652,1591,1542,1547,1488,1506,707,2871,2681,2886,2862,2875,2908,-262,-1219,-1090,-1344,-1315,-1387,-1402,89,283,381,363,389,414,391,208,586,270,708,961,550,745,297,869,651,1071,1350,964,1136,5,-186,-18,202,-21,186,-79
12740,"Barre, VT",Micropolitan Statistical Area,59534,59526,59572,59567,59377,59223,59003,58706,58504,46,-5,-190,-154,-220,-297,-202,173,610,616,541,567,574,566,143,525,499,526,572,516,512,30,85,117,15,-5,58,54,2,13,24,36,38,40,40,18,-89,-331,-207,-227,-374,-295,20,-76,-307,-171,-189,-334,-255,-4,-14,0,2,-26,-21,-1
12780,"Bartlesville, OK",Micropolitan Statistical Area,50976,50974,51058,51294,51579,51633,52017,52145,52087,84,236,285,54,384,128,-58,160,666,624,610,615,672,645,119,584,588,604,597,641,654,41,82,36,6,18,31,-9,12,75,96,115,126,130,128,35,108,158,-49,269,-26,-183,47,183,254,66,395,104,-55,-4,-29,-5,-18,-29,-7,6
12820,"Bastrop, LA",Micropolitan Statistical Area,27979,27979,27896,27502,27454,27012,26732,26428,26071,-83,-394,-48,-442,-280,-304,-357,91,382,366,338,374,384,367,135,384,364,377,381,354,367,-44,-2,2,-39,-7,30,0,1,6,8,7,7,7,7,-41,-394,-56,-419,-275,-335,-376,-40,-388,-48,-412,-268,-328,-369,1,-4,-2,9,-5,-6,12
12860,"Batavia, NY",Micropolitan Statistical Area,60079,59944,59939,59923,59762,59262,58949,58810,58482,-5,-16,-161,-500,-313,-139,-328,159,641,604,582,573,647,622,166,621,594,646,601,639,641,-7,20,10,-64,-28,8,-19,10,75,61,62,67,68,68,-8,-84,-235,-513,-352,-274,-338,2,-9,-174,-451,-285,-206,-270,0,-27,3,15,0,59,-39
12900,"Batesville, AR",Micropolitan Statistical Area,36647,36647,36805,36831,36925,36873,37113,37073,37168,158,26,94,-52,240,-40,95,119,455,485,475,460,438,457,112,390,405,419,394,461,419,7,65,80,56,66,-23,38,4,35,13,19,31,33,34,139,-60,2,-124,157,-22,48,143,-25,15,-105,188,11,82,8,-14,-1,-3,-14,-28,-25
