CBSA,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,NPOPCHG2015,NPOPCHG2016,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016
31180,"Lubbock, TX",Metropolitan Statistical Area,290805,290868,292260,295440,298111,301644,306677,310688,314840,1392,3180,2671,3533,5033,4011,4152,1121,4111,4004,4109,4394,4359,4408,550,2342,2327,2420,2367,2587,2637,571,1769,1677,1689,2027,1772,1771,93,342,366,383,426,447,444,688,1041,645,1362,2491,1650,1843,781,1383,1011,1745,2917,2097,2287,40,28,-17,99,89,142,94
31220,"Ludington, MI",Micropolitan Statistical Area,28705,28705,28730,28648,28672,28656,28761,28812,28876,25,-82,24,-16,105,51,64,79,301,278,280,278,330,303,52,355,354,327,363,293,296,27,-54,-76,-47,-85,37,7,2,13,12,14,15,16,16,-1,-36,91,13,181,26,64,1,-23,103,27,196,42,80,-3,-5,-3,4,-6,-28,-23
31260,"Lufkin, TX",Micropolitan Statistical Area,86771,86771,86915,87275,87520,87409,87628,87938,87791,144,360,245,-111,219,310,-147,280,1244,1243,1167,1209,1210,1176,181,850,817,880,851,893,920,99,394,426,287,358,317,256,3,18,-23,-7,7,9,12,46,-2,-154,-430,-149,-69,-420,49,16,-177,-437,-142,-60,-408,-4,-50,-4,39,3,53,5
31300,"Lumberton, NC",Micropolitan Statistical Area,134168,134240,134450,135103,135412,135074,134869,134292,133235,210,653,309,-338,-205,-577,-1057,500,1999,1805,1934,1886,1768,1749,254,1206,1233,1253,1270,1373,1338,246,793,572,681,616,395,411,18,71,70,71,90,92,91,-34,-179,-326,-1097,-858,-1061,-1511,-16,-108,-256,-1026,-768,-969,-1420,-20,-32,-7,7,-53,-3,-48
31340,"Lynchburg, VA",Metropolitan Statistical Area,252634,252659,253058,254241,255745,256946,258009,259378,260232,399,1183,1504,1201,1063,1369,854,742,2863,2855,2819,2756,2803,2785,651,2533,2474,2581,2512,2612,2615,91,330,381,238,244,191,170,83,312,281,308,342,357,347,242,452,853,653,506,660,337,325,764,1134,961,848,1017,684,-17,89,-11,2,-29,161,0
31380,"Macomb, IL",Micropolitan Statistical Area,32612,32612,32607,32485,32516,32167,31615,31342,30996,-5,-122,31,-349,-552,-273,-346,77,305,293,304,303,274,281,52,300,286,328,291,303,284,25,5,7,-24,12,-29,-3,13,29,43,42,49,48,46,-37,-145,-16,-374,-684,-265,-400,-24,-116,27,-332,-635,-217,-354,-6,-11,-3,7,71,-27,11
31420,"Macon-Bibb County, GA",Metropolitan Statistical Area,232293,232293,232265,232820,232880,231321,230630,229909,229182,-28,555,60,-1559,-691,-721,-727,788,3135,3189,2954,2995,2965,2931,608,2296,2226,2428,2256,2487,2573,180,839,963,526,739,478,358,41,188,220,222,245,251,249,-248,-631,-1110,-2346,-1610,-1520,-1315,-207,-443,-890,-2124,-1365,-1269,-1066,-1,159,-13,39,-65,70,-19
31460,"Madera, CA",Metropolitan Statistical Area,150865,150843,151099,151962,151947,151811,154071,154306,154697,256,863,-15,-136,2260,235,391,575,2439,2377,2289,2258,2309,2276,325,1014,1050,1045,1047,1047,1066,250,1425,1327,1244,1211,1262,1210,15,82,28,67,141,181,189,-11,-579,-1406,-1388,920,-1119,-996,4,-497,-1378,-1321,1061,-938,-807,2,-65,36,-59,-12,-89,-12
31500,"Madison, IN",Micropolitan Statistical Area,32428,32428,32421,32296,32510,32488,32531,32465,32418,-7,-125,214,-22,43,-66,-47,92,331,372,354,355,392,390,99,367,340,384,395,360,349,-7,-36,32,-30,-40,32,41,1,16,15,11,12,13,12,1,-85,173,-11,61,-103,-87,2,-69,188,0,73,-90,-75,-2,-20,-6,8,10,-8,-13
31540,"Madison, WI",Metropolitan Statistical Area,605435,605437,606556,613897,620503,627406,633892,640614,648929,1119,7341,6606,6903,6486,6722,8315,1917,7292,7341,7448,7520,7383,7486,1025,4059,3973,4192,4350,4176,4273,892,3233,3368,3256,3170,3207,3213,332,1474,1546,1678,1888,1977,1935,-72,2310,1670,1657,1496,1244,3130,260,3784,3216,3335,3384,3221,5065,-33,324,22,312,-68,294,37
