destination,st_dest_abbrv,co_dest_name,hshlds,pop
19153,IA,Polk County,47,88
25027,MA,Worcester County,51,88
51510,VA,Alexandria city,58,88
18057,IN,Hamilton County,37,87
37133,NC,Onslow County,45,86
36055,NY,Monroe County,53,85
45019,SC,Charleston County,55,85
01073,AL,Jefferson County,46,84
12115,FL,Sarasota County,50,84
35043,NM,Sandoval County,43,84
37067,NC,Forsyth County,41,84
20061,KS,Geary County,37,82
36029,NY,Erie County,54,82
37063,NC,Durham County,55,82
34013,NJ,Essex County,58,81
05119,AR,Pulaski County,43,80
13051,GA,Chatham County,45,80
24027,MD,Howard County,44,80
31109,NE,Lancaster County,38,80
51710,VA,Norfolk city,53,80
12105,FL,Polk County,42,79
36045,NY,Jefferson County,44,79
06051,CA,Mono County,47,77
13063,GA,Clayton County,36,77
45045,SC,Greenville County,38,77
10003,DE,New Castle County,47,76
47065,TN,Hamilton County,35,76
48355,TX,Nueces County,34,75
12117,FL,Seminole County,42,74
06045,CA,Mendocino County,46,73
26099,MI,Macomb County,44,72
41033,OR,Josephine County,43,72
48329,TX,Midland County,39,71
42029,PA,Chester County,43,70
44007,RI,Providence County,45,70
57003,FR,Foreign - Puerto Rico,36,70
20209,KS,Wyandotte County,29,69
35013,NM,Dona Ana County,38,69
45013,SC,Beaufort County,43,69
32510,NV,Carson City,40,68
34007,NJ,Camden County,36,68
34039,NJ,Union County,36,68
47093,TN,Knox County,39,68
47125,TN,Montgomery County,40,68
48303,TX,Lubbock County,36,68
15007,HI,Kauai County,45,66
51087,VA,Henrico County,36,66
06027,CA,Inyo County,43,65
22051,LA,Jefferson Parish,47,65
34021,NJ,Mercer County,39,65
21067,KY,Fayette County,39,64
29510,MO,St. Louis city,50,64
34025,NJ,Monmouth County,37,64
34035,NJ,Somerset County,39,64
48135,TX,Ector County,31,64
17089,IL,Kane County,30,63
40027,OK,Cleveland County,36,63
47149,TN,Rutherford County,35,63
12091,FL,Okaloosa County,44,62
42017,PA,Bucks County,43,62
53057,WA,Skagit County,31,61
08045,CO,Garfield County,26,60
42045,PA,Delaware County,35,60
