NY Metro Net Migration
inflow_2011_12_outflow_2011_12
+-----------+------------------------------------------------+---------+--------+
| cbsa_code |                   cbsa_name                    | returns | exempt |
|   42700   |                  Sebring, FL                   |    0    |  -12   |
|   13820   |             Birmingham-Hoover, AL              |    -4   |  -14   |
|   30460   |             Lexington-Fayette, KY              |    4    |  -14   |
|   12620   |                   Bangor, ME                   |   -11   |  -15   |
|   14020   |                Bloomington, IN                 |    -5   |  -15   |
|   21460   |                 Enterprise, AL                 |   -15   |  -15   |
|   33340   |       Milwaukee-Waukesha-West Allis, WI        |    34   |  -15   |
|   24140   |                 Goldsboro, NC                  |   -11   |  -17   |
|   37460   |                Panama City, FL                 |   -12   |  -18   |
|   39900   |                    Reno, NV                    |    -2   |  -18   |
|   11220   |                 Amsterdam, NY                  |   -11   |  -19   |
|   15260   |                 Brunswick, GA                  |   -11   |  -19   |
|   18180   |                  Concord, NH                   |   -15   |  -19   |
|   22020   |                  Fargo, ND-MN                  |   -14   |  -19   |
|   24100   |                Gloversville, NY                |   -12   |  -19   |
|   30020   |                   Lawton, OK                   |   -17   |  -19   |
|   12020   |            Athens-Clarke County, GA            |   -11   |  -20   |
|   12740   |                   Barre, VT                    |   -15   |  -20   |
|   40220   |                  Roanoke, VA                   |   -12   |  -20   |
|   14260   |                 Boise City, ID                 |   -14   |  -21   |
|   35980   |             Norwich-New London, CT             |    16   |  -21   |
|   38240   |          Pinehurst-Southern Pines, NC          |   -10   |  -21   |
|   19340   |      Davenport-Moline-Rock Island, IA-IL       |   -11   |  -22   |
|   44920   |                Summit Park, UT                 |   -11   |  -22   |
|   13500   |               Bennettsville, SC                |   -12   |  -23   |
|   23580   |                Gainesville, GA                 |   -11   |  -24   |
|   23900   |                 Gettysburg, PA                 |   -13   |  -24   |
|   29180   |                 Lafayette, LA                  |   -11   |  -24   |
|   22780   |             Fort Leonard Wood, MO              |   -14   |  -25   |
|   48980   |                   Wilson, NC                   |   -12   |  -25   |
|   18880   |     Crestview-Fort Walton Beach-Destin, FL     |    0    |  -27   |
|   27920   |               Junction City, KS                |   -19   |  -27   |
|   21300   |                   Elmira, NY                   |   -21   |  -28   |
|   40900   |    Sacramento--Roseville--Arden-Arcade, CA     |    -1   |  -28   |
|   46700   |             Vallejo-Fairfield, CA              |   -24   |  -28   |
|   13140   |            Beaumont-Port Arthur, TX            |    2    |  -29   |
|   20380   |                    Dunn, NC                    |   -12   |  -29   |
|   22500   |                  Florence, SC                  |   -19   |  -35   |
|   31180   |                  Lubbock, TX                   |   -13   |  -35   |
|   37860   |         Pensacola-Ferry Pass-Brent, FL         |   -27   |  -36   |
|   42200   |         Santa Maria-Santa Barbara, CA          |    -8   |  -36   |
|   35100   |                  New Bern, NC                  |   -17   |  -39   |
|   14010   |                Bloomington, IL                 |   -14   |  -40   |
|   15540   |        Burlington-South Burlington, VT         |   -22   |  -41   |
|   26980   |                 Iowa City, IA                  |   -13   |  -41   |
|   21500   |                    Erie, PA                    |   -23   |  -43   |
|   23860   |                 Georgetown, SC                 |   -24   |  -44   |
|   32580   |          McAllen-Edinburg-Mission, TX          |   -34   |  -44   |
|   39660   |                 Rapid City, SD                 |   -37   |  -45   |
|   48060   |            Watertown-Fort Drum, NY             |   -23   |  -50   |
|   40380   |                 Rochester, NY                  |    92   |  -52   |
|   41620   |               Salt Lake City, UT               |   -19   |  -54   |
|   36540   |          Omaha-Council Bluffs, NE-IA           |   -14   |  -55   |
|   40340   |                 Rochester, MN                  |   -32   |  -56   |
|   36700   |                 Orangeburg, SC                 |   -28   |  -58   |
|   12260   |         Augusta-Richmond County, GA-SC         |   -23   |  -63   |
|   28580   |                  Key West, FL                  |   -32   |  -63   |
|   42220   |                 Santa Rosa, CA                 |   -50   |  -64   |
|   33460   |    Minneapolis-St. Paul-Bloomington, MN-WI     |    32   |  -65   |
|   49660   |       Youngstown-Warren-Boardman, OH-PA        |   -45   |  -71   |
|   39140   |                  Prescott, AZ                  |   -50   |  -75   |
|   25980   |                 Hinesville, GA                 |   -40   |  -81   |
|   37100   |        Oxnard-Thousand Oaks-Ventura, CA        |   -38   |  -83   |
|   32820   |               Memphis, TN-MS-AR                |   -38   |  -84   |
|   47220   |             Vineland-Bridgeton, NJ             |   -31   |  -86   |
|   24340   |            Grand Rapids-Wyoming, MI            |   -36   |  -89   |
|   39060   |                 Pottsville, PA                 |   -49   |  -91   |
|   11700   |                 Asheville, NC                  |   -63   |  -93   |
|   36580   |                  Oneonta, NY                   |   -61   |  -93   |
|   24020   |                Glens Falls, NY                 |   -62   |  -108  |
|   22220   |     Fayetteville-Springdale-Rogers, AR-MO      |   -53   |  -109  |
|   24780   |                 Greenville, NC                 |   -54   |  -109  |
|   21340   |                  El Paso, TX                   |   -57   |  -112  |
|   26140   |             Homosassa Springs, FL              |   -77   |  -114  |
|   28660   |               Killeen-Temple, TX               |   -81   |  -116  |
|   46520   |               Urban Honolulu, HI               |   -61   |  -116  |
|   36420   |               Oklahoma City, OK                |   -67   |  -120  |
|   13780   |                 Binghamton, NY                 |    -2   |  -126  |
|   17300   |               Clarksville, TN-KY               |   -60   |  -134  |
|   40140   |      Riverside-San Bernardino-Ontario, CA      |   -62   |  -147  |
|   30140   |                  Lebanon, PA                   |   -66   |  -150  |
|   38900   |      Portland-Vancouver-Hillsboro, OR-WA       |   -77   |  -152  |
|   42340   |                  Savannah, GA                  |   -96   |  -155  |
|   38340   |                 Pittsfield, MA                 |   -88   |  -157  |
|   12100   |          Atlantic City-Hammonton, NJ           |   -173  |  -160  |
|   46540   |                 Utica-Rome, NY                 |   -53   |  -164  |
|   17900   |                  Columbia, SC                  |   -80   |  -165  |
|   23420   |                   Fresno, CA                   |   -84   |  -171  |
|   36140   |                 Ocean City, NJ                 |   -66   |  -176  |
|   28140   |               Kansas City, MO-KS               |   -52   |  -179  |
|   35380   |            New Orleans-Metairie, LA            |   -132  |  -184  |
|   12700   |              Barnstable Town, MA               |   -122  |  -196  |
|   14500   |                  Boulder, CO                   |   -105  |  -201  |
|   45860   |                 Torrington, CT                 |   -87   |  -212  |
|   24860   |        Greenville-Anderson-Mauldin, SC         |   -148  |  -222  |
|   17460   |              Cleveland-Elyria, OH              |   -39   |  -233  |
|   46060   |                   Tucson, AZ                   |   -109  |  -236  |
|   25420   |            Harrisburg-Carlisle, PA             |   -72   |  -240  |
|   44140   |                Springfield, MA                 |   -19   |  -241  |
|   17820   |              Colorado Springs, CO              |   -144  |  -244  |
|   38300   |                 Pittsburgh, PA                 |   -44   |  -248  |
|   49180   |               Winston-Salem, NC                |   -126  |  -253  |
|   42680   |            Sebastian-Vero Beach, FL            |   -130  |  -256  |
|   20100   |                   Dover, DE                    |   -162  |  -262  |
|   18140   |                  Columbus, OH                  |   -82   |  -265  |
|   38860   |          Portland-South Portland, ME           |   -159  |  -286  |
|   31700   |             Manchester-Nashua, NH              |   -142  |  -288  |
|   48900   |                 Wilmington, NC                 |   -160  |  -297  |
|   49340   |                Worcester, MA-CT                |   -79   |  -303  |
|   39460   |                Punta Gorda, FL                 |   -183  |  -305  |
|   28740   |                  Kingston, NY                  |   -159  |  -310  |
|   34980   | Nashville-Davidson--Murfreesboro--Franklin, TN |   -178  |  -317  |
|   39300   |           Providence-Warwick, RI-MA            |    5    |  -333  |
|   15380   |     Buffalo-Cheektowaga-Niagara Falls, NY      |   -48   |  -350  |
|   45540   |                The Villages, FL                |   -198  |  -354  |
|   25940   |    Hilton Head Island-Bluffton-Beaufort, SC    |   -174  |  -357  |
|   25540   |    Hartford-West Hartford-East Hartford, CT    |    -1   |  -366  |
|   41700   |         San Antonio-New Braunfels, TX          |   -186  |  -368  |
|   49620   |                York-Hanover, PA                |   -208  |  -371  |
|   36100   |                   Ocala, FL                    |   -205  |  -397  |
|   22180   |                Fayetteville, NC                |   -204  |  -407  |
|   29460   |           Lakeland-Winter Haven, FL            |   -124  |  -427  |
|   29540   |                 Lancaster, PA                  |   -204  |  -435  |
|   34940   |       Naples-Immokalee-Marco Island, FL        |   -103  |  -438  |
|   26460   |                   Hudson, NY                   |   -240  |  -446  |
|   26900   |        Indianapolis-Carmel-Anderson, IN        |   -243  |  -452  |
|   41740   |             San Diego-Carlsbad, CA             |   -260  |  -460  |
|   41540   |                Salisbury, MD-DE                |   -266  |  -474  |
|   24660   |           Greensboro-High Point, NC            |   -206  |  -478  |
|   39740   |                  Reading, PA                   |   -185  |  -549  |
|   20500   |             Durham-Chapel Hill, NC             |   -401  |  -574  |
|   42660   |          Seattle-Tacoma-Bellevue, WA           |   -359  |  -596  |
|   37340   |       Palm Bay-Melbourne-Titusville, FL        |   -289  |  -600  |
|   19740   |           Denver-Aurora-Lakewood, CO           |   -389  |  -645  |
|   20700   |              East Stroudsburg, PA              |   -285  |  -649  |
|   16700   |        Charleston-North Charleston, SC         |   -332  |  -654  |
|   19820   |          Detroit-Warren-Dearborn, MI           |   -387  |  -688  |
|   29820   |        Las Vegas-Henderson-Paradise, NV        |   -442  |  -701  |
|   47260   |   Virginia Beach-Norfolk-Newport News, VA-NC   |   -343  |  -716  |
|   35300   |             New Haven-Milford, CT              |   -342  |  -719  |
|   40060   |                  Richmond, VA                  |   -281  |  -720  |
|   16980   |       Chicago-Naperville-Elgin, IL-IN-WI       |   -351  |  -758  |
|   27260   |                Jacksonville, FL                |   -381  |  -790  |
|   19660   |     Deltona-Daytona Beach-Ormond Beach, FL     |   -469  |  -883  |
|   41940   |       San Jose-Sunnyvale-Santa Clara, CA       |   -511  |  -896  |
|   15980   |           Cape Coral-Fort Myers, FL            |   -474  |  -933  |
|   38060   |          Phoenix-Mesa-Scottsdale, AZ           |   -513  | -1148  |
|   38940   |               Port St. Lucie, FL               |   -623  | -1162  |
|   45940   |                  Trenton, NJ                   |   -624  | -1217  |
|   14460   |         Boston-Cambridge-Newton, MA-NH         |   -322  | -1289  |
|   35840   |       North Port-Sarasota-Bradenton, FL        |   -669  | -1339  |
|   34820   | Myrtle Beach-Conway-North Myrtle Beach, SC-NC  |   -721  | -1351  |
|   10580   |          Albany-Schenectady-Troy, NY           |   -605  | -1424  |
|   42540   |      Scranton--Wilkes-Barre--Hazleton, PA      |   -683  | -1528  |
|   45300   |      Tampa-St. Petersburg-Clearwater, FL       |   -465  | -1815  |
|   12580   |         Baltimore-Columbia-Towson, MD          |   -855  | -1837  |
|   39580   |                  Raleigh, NC                   |   -885  | -1919  |
|   26420   |      Houston-The Woodlands-Sugar Land, TX      |  -1030  | -2230  |
|   47900   |  Washington-Arlington-Alexandria, DC-VA-MD-WV  |   -972  | -2269  |
|   10900   |       Allentown-Bethlehem-Easton, PA-NJ        |  -1057  | -2283  |
|   19100   |        Dallas-Fort Worth-Arlington, TX         |  -1237  | -2433  |
|   41860   |       San Francisco-Oakland-Hayward, CA        |  -1235  | -2502  |
|   31080   |       Los Angeles-Long Beach-Anaheim, CA       |  -1649  | -2511  |
|   16740   |       Charlotte-Concord-Gastonia, NC-SC        |  -1105  | -2551  |
|   12420   |             Austin-Round Rock, TX              |  -1981  | -2715  |
|   12060   |       Atlanta-Sandy Springs-Roswell, GA        |  -1488  | -3364  |
|   36740   |         Orlando-Kissimmee-Sanford, FL          |  -1317  | -3759  |
|   14860   |        Bridgeport-Stamford-Norwalk, CT         |  -1719  | -4364  |
|   37980   |  Philadelphia-Camden-Wilmington, PA-NJ-DE-MD   |  -1814  | -4457  |
|   33100   |   Miami-Fort Lauderdale-West Palm Beach, FL    |  -3117  | -6161  |
+-----------+------------------------------------------------+---------+--------+
