NY Metro Net Migration
inflow_2013_14_outflow_2013_14
+-----------+------------------------------------------------+---------+--------+
| cbsa_code |                   cbsa_name                    | returns | exempt |
|   34980   | Nashville-Davidson--Murfreesboro--Franklin, TN |   -196  |  -335  |
|   20500   |             Durham-Chapel Hill, NC             |   -188  |  -352  |
|   46520   |               Urban Honolulu, HI               |   -192  |  -360  |
|   38900   |      Portland-Vancouver-Hillsboro, OR-WA       |   -270  |  -400  |
|   13780   |                 Binghamton, NY                 |   -125  |  -402  |
|   39740   |                  Reading, PA                   |   -155  |  -405  |
|   41700   |         San Antonio-New Braunfels, TX          |   -190  |  -423  |
|   29540   |                 Lancaster, PA                  |   -205  |  -427  |
|   25540   |    Hartford-West Hartford-East Hartford, CT    |   -27   |  -430  |
|   24860   |        Greenville-Anderson-Mauldin, SC         |   -211  |  -434  |
|   41540   |                Salisbury, MD-DE                |   -265  |  -468  |
|   40060   |                  Richmond, VA                  |   -233  |  -578  |
|   16700   |        Charleston-North Charleston, SC         |   -323  |  -626  |
|   16980   |       Chicago-Naperville-Elgin, IL-IN-WI       |   -143  |  -667  |
|   28740   |                  Kingston, NY                  |   -419  |  -675  |
|   19740   |           Denver-Aurora-Lakewood, CO           |   -538  |  -828  |
|   45940   |                  Trenton, NJ                   |   -289  |  -857  |
|   19660   |     Deltona-Daytona Beach-Ormond Beach, FL     |   -466  |  -937  |
|   47260   |   Virginia Beach-Norfolk-Newport News, VA-NC   |   -469  |  -952  |
|   42660   |          Seattle-Tacoma-Bellevue, WA           |   -527  |  -975  |
|   29820   |        Las Vegas-Henderson-Paradise, NV        |   -587  | -1013  |
|   14460   |         Boston-Cambridge-Newton, MA-NH         |   -218  | -1038  |
|   38940   |               Port St. Lucie, FL               |   -556  | -1047  |
|   41740   |             San Diego-Carlsbad, CA             |   -647  | -1069  |
|   35300   |             New Haven-Milford, CT              |   -387  | -1086  |
|   29460   |           Lakeland-Winter Haven, FL            |   -501  | -1089  |
|   34940   |       Naples-Immokalee-Marco Island, FL        |   -630  | -1112  |
|   41940   |       San Jose-Sunnyvale-Santa Clara, CA       |   -626  | -1173  |
|   42540   |      Scranton--Wilkes-Barre--Hazleton, PA      |   -516  | -1194  |
|   37340   |       Palm Bay-Melbourne-Titusville, FL        |   -595  | -1205  |
|   27260   |                Jacksonville, FL                |   -613  | -1236  |
|   20700   |              East Stroudsburg, PA              |   -526  | -1308  |
|   10580   |          Albany-Schenectady-Troy, NY           |   -531  | -1354  |
|   38060   |          Phoenix-Mesa-Scottsdale, AZ           |   -702  | -1442  |
|   34820   | Myrtle Beach-Conway-North Myrtle Beach, SC-NC  |   -772  | -1451  |
|   35840   |       North Port-Sarasota-Bradenton, FL        |   -835  | -1543  |
|   15980   |           Cape Coral-Fort Myers, FL            |   -919  | -1768  |
|   39580   |                  Raleigh, NC                   |  -1091  | -2571  |
|   12580   |         Baltimore-Columbia-Towson, MD          |  -1456  | -3085  |
|   41860   |       San Francisco-Oakland-Hayward, CA        |  -2056  | -3209  |
|   16740   |       Charlotte-Concord-Gastonia, NC-SC        |  -1470  | -3242  |
|   19100   |        Dallas-Fort Worth-Arlington, TX         |  -1331  | -3288  |
|   26420   |      Houston-The Woodlands-Sugar Land, TX      |  -1590  | -3609  |
|   10900   |       Allentown-Bethlehem-Easton, PA-NJ        |  -1671  | -3662  |
|   31080   |       Los Angeles-Long Beach-Anaheim, CA       |  -2594  | -3972  |
|   45300   |      Tampa-St. Petersburg-Clearwater, FL       |  -2073  | -4323  |
|   12060   |       Atlanta-Sandy Springs-Roswell, GA        |  -2037  | -4544  |
|   47900   |  Washington-Arlington-Alexandria, DC-VA-MD-WV  |  -1990  | -4548  |
|   37980   |  Philadelphia-Camden-Wilmington, PA-NJ-DE-MD   |  -1887  | -4708  |
|   14860   |        Bridgeport-Stamford-Norwalk, CT         |  -1951  | -4839  |
|   12420   |             Austin-Round Rock, TX              |  -2621  | -4949  |
|   36740   |         Orlando-Kissimmee-Sanford, FL          |  -2362  | -5257  |
|   33100   |   Miami-Fort Lauderdale-West Palm Beach, FL    |  -4957  | -9507  |
+-----------+------------------------------------------------+---------+--------+
