STATEFIPS,STATE,COUNTYFIPS,COUNTYNAME,AGI_STUB,N1,MARS2,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N07100,A07100,N07220,A07220,N07180,A07180,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N09600,A09600,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
26,MI,091,Lenawee County,0,44997.0000,20054.0000,26759.0000,89525.0000,27520.0000,2003194.0000,36354.0000,1464174.0000,15681.0000,19978.0000,7626.0000,24022.0000,6810.0000,17291.0000,6013.0000,46549.0000,1068.0000,5857.0000,14525.0000,5432.0000,64467.0000,12403.0000,230908.0000,5971.0000,38400.0000,6821.0000,74101.0000,117.0000,1503.0000,12653.0000,229912.0000,10360.0000,40747.0000,1948.0000,1699.0000,11831.0000,32237.0000,12615.0000,78255.0000,10643.0000,78367.0000,10041.0000,31587.0000,32542.0000,1273498.0000,13723.0000,16612.0000,7348.0000,9863.0000,1539.0000,736.0000,1612.0000,431.0000,7844.0000,16329.0000,6878.0000,14705.0000,5125.0000,6484.0000,405.0000,1944.0000,29135.0000,187494.0000,31769.0000,198211.0000,6569.0000,17394.0000,35130.0000,86573.0000
26,MI,093,Livingston County,0,89636.0000,42540.0000,48058.0000,179163.0000,55783.0000,5760830.0000,73965.0000,4329927.0000,38788.0000,52400.0000,21791.0000,80239.0000,19776.0000,54960.0000,13772.0000,156254.0000,569.0000,18261.0000,129853.0000,11631.0000,194442.0000,21504.0000,495770.0000,9087.0000,60297.0000,13176.0000,178034.0000,432.0000,7449.0000,38726.0000,844580.0000,32946.0000,166003.0000,4872.0000,5079.0000,36878.0000,119575.0000,38658.0000,303702.0000,33875.0000,323205.0000,32913.0000,96702.0000,70818.0000,4070293.0000,30361.0000,41441.0000,15183.0000,21807.0000,3625.0000,1720.0000,3999.0000,1454.0000,9147.0000,16536.0000,7492.0000,13865.0000,5857.0000,7615.0000,2491.0000,11835.0000,65730.0000,704312.0000,69858.0000,733937.0000,16164.0000,66548.0000,67846.0000,176389.0000
26,MI,095,Luce County,0,2526.0000,1139.0000,1672.0000,4817.0000,1339.0000,98376.0000,1908.0000,62225.0000,1105.0000,1547.0000,368.0000,1255.0000,329.0000,932.0000,397.0000,2426.0000,24.0000,285.0000,1127.0000,274.0000,2867.0000,777.0000,17418.0000,324.0000,1829.0000,488.0000,4766.0000,0.0001,0.0001,361.0000,6337.0000,266.0000,1029.0000,90.0000,99.0000,332.0000,639.0000,361.0000,1883.0000,260.0000,1716.0000,245.0000,761.0000,1771.0000,60698.0000,660.0000,731.0000,355.0000,463.0000,54.0000,31.0000,96.0000,29.0000,528.0000,1000.0000,450.0000,904.0000,271.0000,341.0000,0.0001,0.0001,1606.0000,8581.0000,1766.0000,9070.0000,347.0000,704.0000,2009.0000,4307.0000
26,MI,097,Mackinac County,0,5959.0000,2445.0000,3583.0000,10449.0000,2502.0000,226637.0000,4513.0000,136133.0000,2423.0000,3961.0000,1104.0000,5672.0000,1010.0000,4234.0000,926.0000,5710.0000,69.0000,905.0000,6469.0000,697.0000,9454.0000,1653.0000,38143.0000,1352.0000,8564.0000,1030.0000,11187.0000,0.0001,0.0001,1172.0000,23910.0000,830.0000,3651.0000,308.0000,338.0000,1053.0000,3375.0000,1169.0000,7620.0000,841.0000,6391.0000,877.0000,3345.0000,4135.0000,141583.0000,1449.0000,1598.0000,646.0000,796.0000,102.0000,53.0000,196.0000,68.0000,1069.0000,2000.0000,914.0000,1778.0000,582.0000,699.0000,58.0000,345.0000,3705.0000,21796.0000,4064.0000,22983.0000,863.0000,2006.0000,4524.0000,9594.0000
26,MI,099,Macomb County,0,427310.0000,160907.0000,253656.0000,804781.0000,249173.0000,20506600.000,342465.0000,15557749.000,164432.0000,259380.0000,82376.0000,246092.0000,74386.0000,160866.0000,55910.0000,514079.0000,607.0000,64394.0000,148521.0000,48676.0000,618982.0000,100474.0000,1988882.0000,49906.0000,325485.0000,57322.0000,663733.0000,1008.0000,14968.0000,141841.0000,3277428.0000,118370.0000,491546.0000,19517.0000,16628.0000,131537.0000,404569.0000,141551.0000,958866.0000,119126.0000,923307.0000,122209.0000,322110.0000,318631.0000,13674904.000,134618.0000,181859.0000,63581.0000,83418.0000,14989.0000,6609.0000,16405.0000,4088.0000,68615.0000,147936.0000,59149.0000,127306.0000,43147.0000,54526.0000,4960.0000,19169.0000,287152.0000,2159874.0000,312435.0000,2257292.0000,61940.0000,179412.0000,336296.0000,849032.0000
26,MI,101,Manistee County,0,11334.0000,4970.0000,6569.0000,21028.0000,5402.0000,446617.0000,8427.0000,287155.0000,5161.0000,6859.0000,2362.0000,8385.0000,2026.0000,5746.0000,1706.0000,12689.0000,254.0000,1792.0000,10561.0000,1734.0000,22647.0000,3398.0000,67610.0000,1503.0000,9086.0000,2013.0000,22285.0000,29.0000,447.0000,2560.0000,47774.0000,1795.0000,6911.0000,685.0000,636.0000,2378.0000,7472.0000,2554.0000,15758.0000,1893.0000,13105.0000,2002.0000,6167.0000,7861.0000,278189.0000,3011.0000,3144.0000,1386.0000,1772.0000,222.0000,94.0000,446.0000,103.0000,1968.0000,3952.0000,1699.0000,3528.0000,1171.0000,1437.0000,92.0000,537.0000,7102.0000,40347.0000,7798.0000,42775.0000,1641.0000,4035.0000,8594.0000,18987.0000
26,MI,103,Marquette County,0,30506.0000,13018.0000,16516.0000,55979.0000,14779.0000,1433251.0000,24189.0000,1041790.0000,13229.0000,13704.0000,6683.0000,22399.0000,6195.0000,16836.0000,3652.0000,30671.0000,119.0000,4941.0000,17434.0000,3361.0000,44587.0000,8544.0000,190260.0000,3157.0000,19795.0000,4802.0000,51271.0000,116.0000,1354.0000,6971.0000,130455.0000,5614.0000,24816.0000,1182.0000,1409.0000,6462.0000,19152.0000,6949.0000,47406.0000,5622.0000,39039.0000,5446.0000,17224.0000,23249.0000,959292.0000,9396.0000,11513.0000,4224.0000,5814.0000,1118.0000,512.0000,1396.0000,343.0000,4615.0000,7953.0000,3979.0000,7229.0000,2433.0000,2905.0000,377.0000,2007.0000,21170.0000,147719.0000,22289.0000,153548.0000,4048.0000,10088.0000,24587.0000,57182.0000
26,MI,105,Mason County,0,13875.0000,6041.0000,8026.0000,26233.0000,7345.0000,558260.0000,10675.0000,365600.0000,5575.0000,7596.0000,2906.0000,9846.0000,2648.0000,6636.0000,2057.0000,15522.0000,375.0000,2136.0000,17101.0000,1795.0000,25485.0000,3600.0000,71156.0000,1944.0000,10945.0000,2159.0000,23234.0000,34.0000,590.0000,3114.0000,62273.0000,2311.0000,9188.0000,715.0000,760.0000,2866.0000,8789.0000,3106.0000,19617.0000,2399.0000,16495.0000,2516.0000,10796.0000,9481.0000,345520.0000,3905.0000,3795.0000,1796.0000,2244.0000,437.0000,197.0000,595.0000,150.0000,2682.0000,5550.0000,2323.0000,4960.0000,1625.0000,2078.0000,129.0000,704.0000,8425.0000,52004.0000,9185.0000,55304.0000,1918.0000,6692.0000,10732.0000,24850.0000
26,MI,107,Mecosta County,0,16578.0000,7443.0000,8760.0000,32353.0000,9458.0000,670043.0000,12774.0000,459596.0000,5839.0000,7409.0000,3037.0000,9077.0000,2774.0000,6005.0000,2398.0000,20717.0000,567.0000,2417.0000,6990.0000,2168.0000,28813.0000,4517.0000,90371.0000,2099.0000,13789.0000,2736.0000,32259.0000,44.0000,467.0000,3517.0000,66263.0000,2719.0000,11497.0000,701.0000,698.0000,3260.0000,8126.0000,3507.0000,21228.0000,2714.0000,18869.0000,2669.0000,9702.0000,11331.0000,420785.0000,4746.0000,5138.0000,2224.0000,2941.0000,443.0000,214.0000,653.0000,221.0000,3219.0000,6642.0000,2807.0000,5949.0000,1938.0000,2489.0000,155.0000,660.0000,10052.0000,63067.0000,11076.0000,66771.0000,2278.0000,6512.0000,12942.0000,30572.0000
26,MI,109,Menominee County,0,11203.0000,4951.0000,7303.0000,20949.0000,5574.0000,489107.0000,8971.0000,330615.0000,4666.0000,6197.0000,2270.0000,10093.0000,2076.0000,7518.0000,1416.0000,8933.0000,317.0000,1648.0000,15932.0000,1379.0000,15623.0000,2573.0000,43470.0000,1487.0000,7688.0000,1555.0000,14847.0000,35.0000,531.0000,2099.0000,40148.0000,1673.0000,7865.0000,374.0000,390.0000,1953.0000,4379.0000,2094.0000,13224.0000,1619.0000,10155.0000,1575.0000,5972.0000,8137.0000,319500.0000,3288.0000,3443.0000,1644.0000,2125.0000,204.0000,88.0000,453.0000,170.0000,1973.0000,3824.0000,1675.0000,3349.0000,1110.0000,1336.0000,87.0000,524.0000,7312.0000,45621.0000,7849.0000,48253.0000,1405.0000,4084.0000,8918.0000,20338.0000
