NYC Net Migration
inflow_2013_14_outflow_2013_14
+--------+--------+-------------------------------+---------+---------+
| county | stname |             coname            | returns | exempts |
| 25003  |   MA   |        Berkshire County       |   -13   |   -51   |
| 29189  |   MO   |        St. Louis County       |    12   |   -51   |
| 51510  |   VA   |        Alexandria city        |   -11   |   -52   |
| 36055  |   NY   |         Monroe County         |    45   |   -53   |
| 37133  |   NC   |         Onslow County         |   -43   |   -54   |
| 42029  |   PA   |         Chester County        |    28   |   -54   |
| 04019  |   AZ   |          Pima County          |   -27   |   -55   |
| 20091  |   KS   |         Johnson County        |   -21   |   -56   |
| 09011  |   CT   |       New London County       |   -15   |   -58   |
| 34041  |   NJ   |         Warren County         |   -15   |   -58   |
| 36091  |   NY   |        Saratoga County        |   -27   |   -58   |
| 24003  |   MD   |      Anne Arundel County      |   -23   |   -59   |
| 08041  |   CO   |         El Paso County        |   -30   |   -64   |
| 36039  |   NY   |         Greene County         |   -34   |   -64   |
| 51107  |   VA   |         Loudoun County        |   -30   |   -64   |
| 18097  |   IN   |         Marion County         |   -11   |   -65   |
| 13217  |   GA   |         Newton County         |   -30   |   -68   |
| 25021  |   MA   |         Norfolk County        |    63   |   -69   |
| 48491  |   TX   |       Williamson County       |   -43   |   -69   |
| 37067  |   NC   |         Forsyth County        |   -25   |   -70   |
| 45015  |   SC   |        Berkeley County        |   -40   |   -71   |
| 34021  |   NJ   |         Mercer County         |    63   |   -72   |
| 40109  |   OK   |        Oklahoma County        |   -33   |   -72   |
| 25005  |   MA   |         Bristol County        |   -15   |   -75   |
| 12081  |   FL   |         Manatee County        |   -39   |   -76   |
| 42091  |   PA   |       Montgomery County       |    68   |   -76   |
| 23005  |   ME   |       Cumberland County       |   -37   |   -79   |
| 06065  |   CA   |        Riverside County       |   -28   |   -80   |
| 45051  |   SC   |          Horry County         |   -42   |   -82   |
| 51550  |   VA   |        Chesapeake city        |   -33   |   -87   |
| 08005  |   CO   |        Arapahoe County        |   -41   |   -88   |
| 13051  |   GA   |         Chatham County        |   -41   |   -89   |
| 36045  |   NY   |        Jefferson County       |   -52   |   -90   |
| 42003  |   PA   |        Allegheny County       |    26   |   -91   |
| 34005  |   NJ   |       Burlington County       |   -14   |   -94   |
| 36021  |   NY   |        Columbia County        |   -70   |   -94   |
| 53061  |   WA   |        Snohomish County       |   -46   |   -95   |
| 24021  |   MD   |        Frederick County       |   -50   |   -96   |
| 06013  |   CA   |      Contra Costa County      |   -25   |   -97   |
| 37081  |   NC   |        Guilford County        |   -25   |   -98   |
| 42017  |   PA   |          Bucks County         |    3    |   -98   |
| 51153  |   VA   |     Prince William County     |   -22   |   -100  |
| 17031  |   IL   |          Cook County          |    75   |   -104  |
| 12109  |   FL   |        St. Johns County       |   -53   |   -105  |
| 25027  |   MA   |        Worcester County       |    -6   |   -106  |
| 37063  |   NC   |         Durham County         |   -58   |   -106  |
| 22051  |   LA   |        Jefferson Parish       |   -70   |   -109  |
| 36065  |   NY   |         Oneida County         |   -29   |   -109  |
| 13247  |   GA   |        Rockdale County        |   -61   |   -113  |
| 42075  |   PA   |         Lebanon County        |   -53   |   -115  |
| 39061  |   OH   |        Hamilton County        |   -39   |   -116  |
| 36083  |   NY   |       Rensselaer County       |   -30   |   -117  |
| 12035  |   FL   |         Flagler County        |   -58   |   -119  |
| 06041  |   CA   |          Marin County         |   -61   |   -121  |
| 13151  |   GA   |          Henry County         |   -57   |   -123  |
| 48027  |   TX   |          Bell County          |   -66   |   -123  |
| 12053  |   FL   |        Hernando County        |   -64   |   -124  |
| 51087  |   VA   |         Henrico County        |   -47   |   -124  |
| 08013  |   CO   |         Boulder County        |   -66   |   -125  |
| 24027  |   MD   |         Howard County         |   -38   |   -125  |
| 51760  |   VA   |         Richmond city         |   -43   |   -126  |
| 42071  |   PA   |        Lancaster County       |   -45   |   -127  |
| 42069  |   PA   |       Lackawanna County       |   -45   |   -129  |
| 36025  |   NY   |        Delaware County        |   -70   |   -132  |
| 15003  |   HI   |        Honolulu County        |   -59   |   -133  |
| 42103  |   PA   |          Pike County          |   -62   |   -133  |
| 42043  |   PA   |         Dauphin County        |   -40   |   -138  |
| 25013  |   MA   |         Hampden County        |   -46   |   -141  |
| 42133  |   PA   |          York County          |   -60   |   -143  |
| 22071  |   LA   |         Orleans Parish        |   -98   |   -147  |
| 51700  |   VA   |       Newport News city       |   -60   |   -148  |
| 51710  |   VA   |          Norfolk city         |   -78   |   -149  |
| 06059  |   CA   |         Orange County         |   -16   |   -157  |
| 09005  |   CT   |       Litchfield County       |   -65   |   -157  |
| 51810  |   VA   |      Virginia Beach city      |   -68   |   -158  |
| 10003  |   DE   |       New Castle County       |   -54   |   -160  |
| 39035  |   OH   |        Cuyahoga County        |   -47   |   -160  |
| 47037  |   TN   |        Davidson County        |   -93   |   -165  |
| 37051  |   NC   |       Cumberland County       |   -76   |   -172  |
| 12083  |   FL   |         Marion County         |   -91   |   -176  |
| 48029  |   TX   |          Bexar County         |   -68   |   -177  |
| 42045  |   PA   |        Delaware County        |   -43   |   -181  |
| 45019  |   SC   |       Charleston County       |   -95   |   -184  |
| 06081  |   CA   |        San Mateo County       |   -114  |   -190  |
| 13063  |   GA   |         Clayton County        |   -84   |   -190  |
| 45045  |   SC   |       Greenville County       |   -85   |   -191  |
| 12009  |   FL   |         Brevard County        |   -92   |   -193  |
| 48157  |   TX   |        Fort Bend County       |   -71   |   -196  |
| 12127  |   FL   |         Volusia County        |   -86   |   -198  |
| 12115  |   FL   |        Sarasota County        |   -110  |   -201  |
| 48085  |   TX   |         Collin County         |   -48   |   -201  |
| 51041  |   VA   |      Chesterfield County      |   -91   |   -202  |
| 04013  |   AZ   |        Maricopa County        |   -67   |   -208  |
| 26163  |   MI   |          Wayne County         |   -44   |   -219  |
| 39049  |   OH   |        Franklin County        |   -59   |   -225  |
| 12031  |   FL   |          Duval County         |   -103  |   -228  |
| 12021  |   FL   |         Collier County        |   -137  |   -231  |
| 12101  |   FL   |          Pasco County         |   -117  |   -232  |
| 58000  |   SS   |    Other flows - Same State   |    -6   |   -232  |
| 25009  |   MA   |          Essex County         |   -60   |   -233  |
| 44007  |   RI   |       Providence County       |   -70   |   -233  |
| 48439  |   TX   |         Tarrant County        |   -100  |   -236  |
| 12111  |   FL   |        St. Lucie County       |   -124  |   -253  |
| 41051  |   OR   |        Multnomah County       |   -177  |   -255  |
| 08031  |   CO   |         Denver County         |   -188  |   -273  |
| 36001  |   NY   |         Albany County         |   -110  |   -280  |
| 12069  |   FL   |          Lake County          |   -134  |   -285  |
| 06073  |   CA   |        San Diego County       |   -156  |   -291  |
| 36093  |   NY   |       Schenectady County      |   -116  |   -296  |
| 09003  |   CT   |        Hartford County        |    -3   |   -298  |
| 13121  |   GA   |         Fulton County         |   -77   |   -306  |
| 12103  |   FL   |        Pinellas County        |   -142  |   -316  |
| 12117  |   FL   |        Seminole County        |   -155  |   -320  |
| 34027  |   NJ   |         Morris County         |   -35   |   -320  |
| 36007  |   NY   |         Broome County         |   -105  |   -330  |
| 36111  |   NY   |         Ulster County         |   -180  |   -332  |
| 42011  |   PA   |          Berks County         |   -118  |   -340  |
| 36029  |   NY   |          Erie County          |   -36   |   -343  |
| 36079  |   NY   |         Putnam County         |   -151  |   -350  |
| 32003  |   NV   |          Clark County         |   -204  |   -352  |
| 48113  |   TX   |         Dallas County         |   -138  |   -352  |
| 13089  |   GA   |         DeKalb County         |   -164  |   -357  |
| 53033  |   WA   |          King County          |   -177  |   -371  |
| 06085  |   CA   |       Santa Clara County      |   -197  |   -378  |
| 57003  |   FR   |     Foreign - Puerto Rico     |   -249  |   -388  |
| 13067  |   GA   |          Cobb County          |   -163  |   -398  |
| 12071  |   FL   |           Lee County          |   -197  |   -404  |
| 24510  |   MD   |         Baltimore city        |   -160  |   -408  |
| 24005  |   MD   |        Baltimore County       |   -160  |   -413  |
| 24031  |   MD   |       Montgomery County       |   -94   |   -421  |
| 12105  |   FL   |          Polk County          |   -165  |   -426  |
| 24033  |   MD   |     Prince George's County    |   -194  |   -428  |
| 06001  |   CA   |         Alameda County        |   -248  |   -443  |
| 42079  |   PA   |         Luzerne County        |   -222  |   -502  |
| 42095  |   PA   |       Northampton County      |   -201  |   -522  |
| 37183  |   NC   |          Wake County          |   -193  |   -524  |
| 13135  |   GA   |        Gwinnett County        |   -246  |   -557  |
| 09009  |   CT   |        New Haven County       |   -142  |   -601  |
| 42101  |   PA   |      Philadelphia County      |   -148  |   -630  |
| 42077  |   PA   |         Lehigh County         |   -233  |   -650  |
| 36027  |   NY   |        Dutchess County        |   -249  |   -680  |
| 34031  |   NJ   |         Passaic County        |   -265  |   -686  |
| 12057  |   FL   |      Hillsborough County      |   -280  |   -729  |
| 12097  |   FL   |         Osceola County        |   -294  |   -729  |
| 34029  |   NJ   |          Ocean County         |   -310  |   -736  |
| 37119  |   NC   |       Mecklenburg County      |   -361  |   -804  |
| 42089  |   PA   |         Monroe County         |   -303  |   -843  |
| 06075  |   CA   |      San Francisco County     |   -699  |   -885  |
| 12086  |   FL   |       Miami-Dade County       |   -540  |   -912  |
| 34025  |   NJ   |        Monmouth County        |   -308  |  -1127  |
| 12099  |   FL   |       Palm Beach County       |   -621  |  -1178  |
| 36087  |   NY   |        Rockland County        |   -310  |  -1182  |
| 34039  |   NJ   |          Union County         |   -376  |  -1248  |
| 48201  |   TX   |         Harris County         |   -559  |  -1248  |
| 12095  |   FL   |         Orange County         |   -520  |  -1288  |
| 12011  |   FL   |         Broward County        |   -607  |  -1303  |
| 36071  |   NY   |         Orange County         |   -659  |  -1683  |
| 34023  |   NJ   |        Middlesex County       |   -595  |  -1816  |
| 09001  |   CT   |        Fairfield County       |   -516  |  -2020  |
| 06037  |   CA   |       Los Angeles County      |  -1480  |  -2164  |
| 36103  |   NY   |         Suffolk County        |   -637  |  -2215  |
| 48453  |   TX   |         Travis County         |  -1385  |  -2707  |
| 34003  |   NJ   |         Bergen County         |   -955  |  -2809  |
| 34013  |   NJ   |          Essex County         |  -1012  |  -2823  |
| 34017  |   NJ   |         Hudson County         |  -1747  |  -3089  |
| 57001  |   FR   |       Foreign - Overseas      |  -1959  |  -3295  |
| 59000  |   DS   | Other flows - Different State |   -460  |  -3677  |
| 36119  |   NY   |       Westchester County      |  -2556  |  -6735  |
| 36059  |   NY   |         Nassau County         |  -3919  |  -11327 |
+--------+--------+-------------------------------+---------+---------+
