NYC Out Migration
outflow_2011_12
+-------------+---------------+-------------------------------+---------+---------+
| destination | st_dest_abbrv |          co_dest_name         | returns | exempts |
|    12111    |       FL      |        St. Lucie County       |   232   |   418   |
|    09011    |       CT      |       New London County       |   238   |   417   |
|    48029    |       TX      |          Bexar County         |   238   |   411   |
|    12101    |       FL      |          Pasco County         |   226   |   409   |
|    37063    |       NC      |         Durham County         |   263   |   407   |
|    12127    |       FL      |         Volusia County        |   224   |   406   |
|    15003    |       HI      |        Honolulu County        |   272   |   397   |
|    37081    |       NC      |        Guilford County        |   195   |   388   |
|    06081    |       CA      |        San Mateo County       |   257   |   382   |
|    13063    |       GA      |         Clayton County        |   196   |   379   |
|    47037    |       TN      |        Davidson County        |   269   |   375   |
|    51153    |       VA      |     Prince William County     |   225   |   372   |
|    12069    |       FL      |          Lake County          |   182   |   352   |
|    26125    |       MI      |         Oakland County        |   229   |   350   |
|    48085    |       TX      |         Collin County         |   191   |   343   |
|    51087    |       VA      |         Henrico County        |   176   |   339   |
|    42069    |       PA      |       Lackawanna County       |   146   |   332   |
|    09005    |       CT      |       Litchfield County       |   178   |   327   |
|    12021    |       FL      |         Collier County        |   187   |   321   |
|    24003    |       MD      |      Anne Arundel County      |   186   |   320   |
|    12115    |       FL      |        Sarasota County        |   202   |   319   |
|    06013    |       CA      |      Contra Costa County      |   219   |   318   |
|    12083    |       FL      |         Marion County         |   177   |   317   |
|    22071    |       LA      |         Orleans Parish        |   247   |   316   |
|    13151    |       GA      |          Henry County         |   136   |   305   |
|    36021    |       NY      |        Columbia County        |   181   |   304   |
|    51710    |       VA      |          Norfolk city         |   165   |   301   |
|    42043    |       PA      |         Dauphin County        |   151   |   293   |
|    42133    |       PA      |          York County          |   157   |   292   |
|    45019    |       SC      |       Charleston County       |   180   |   286   |
|    51760    |       VA      |         Richmond city         |   170   |   286   |
|    42029    |       PA      |         Chester County        |   184   |   281   |
|    39061    |       OH      |        Hamilton County        |   180   |   275   |
|    24027    |       MD      |         Howard County         |   151   |   266   |
|    48157    |       TX      |        Fort Bend County       |   135   |   260   |
|    36083    |       NY      |       Rensselaer County       |   142   |   255   |
|    47157    |       TN      |         Shelby County         |   165   |   255   |
|    06065    |       CA      |        Riverside County       |   170   |   254   |
|    36065    |       NY      |         Oneida County         |   130   |   252   |
|    45079    |       SC      |        Richland County        |   138   |   247   |
|    36109    |       NY      |        Tompkins County        |   172   |   237   |
|    26161    |       MI      |        Washtenaw County       |   182   |   235   |
|    49035    |       UT      |        Salt Lake County       |   154   |   234   |
|    55079    |       WI      |        Milwaukee County       |   138   |   225   |
|    36039    |       NY      |         Greene County         |   120   |   220   |
|    29189    |       MO      |        St. Louis County       |   129   |   219   |
