cbsa_code,cbsa_name,returns,exempts
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",12105,17744
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10639,16305
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6271,9053
31080,"Los Angeles-Long Beach-Anaheim, CA",5922,8482
14460,"Boston-Cambridge-Newton, MA-NH",6085,8305
14860,"Bridgeport-Stamford-Norwalk, CT",4467,7122
12060,"Atlanta-Sandy Springs-Roswell, GA",3947,6604
10900,"Allentown-Bethlehem-Easton, PA-NJ",3789,6393
45940,"Trenton, NJ",3207,5697
36740,"Orlando-Kissimmee-Sanford, FL",3465,5675
45300,"Tampa-St. Petersburg-Clearwater, FL",3845,5647
16980,"Chicago-Naperville-Elgin, IL-IN-WI",3791,5567
41860,"San Francisco-Oakland-Hayward, CA",3151,4226
28740,"Kingston, NY",1834,3129
19100,"Dallas-Fort Worth-Arlington, TX",1855,3000
35300,"New Haven-Milford, CT",1935,2874
12580,"Baltimore-Columbia-Towson, MD",1900,2869
26420,"Houston-The Woodlands-Sugar Land, TX",1605,2594
20700,"East Stroudsburg, PA",1263,2437
10580,"Albany-Schenectady-Troy, NY",1554,2402
25540,"Hartford-West Hartford-East Hartford, CT",1592,2330
41740,"San Diego-Carlsbad, CA",1544,2317
16740,"Charlotte-Concord-Gastonia, NC-SC",1298,2254
38060,"Phoenix-Mesa-Scottsdale, AZ",1318,2039
42660,"Seattle-Tacoma-Bellevue, WA",1293,1969
39300,"Providence-Warwick, RI-MA",1292,1758
39580,"Raleigh, NC",854,1557
42540,"Scranton--Wilkes-Barre--Hazleton, PA",883,1515
19820,"Detroit-Warren-Dearborn, MI",920,1469
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",816,1426
29820,"Las Vegas-Henderson-Paradise, NV",901,1412
12100,"Atlantic City-Hammonton, NJ",805,1395
41940,"San Jose-Sunnyvale-Santa Clara, CA",811,1274
40380,"Rochester, NY",865,1240
15980,"Cape Coral-Fort Myers, FL",742,1202
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",827,1177
38300,"Pittsburgh, PA",809,1153
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",728,1047
27260,"Jacksonville, FL",651,1037
18140,"Columbus, OH",650,1034
12420,"Austin-Round Rock, TX",677,1006
45060,"Syracuse, NY",664,963
34940,"Naples-Immokalee-Marco Island, FL",684,925
29460,"Lakeland-Winter Haven, FL",574,897
19660,"Deltona-Daytona Beach-Ormond Beach, FL",513,865
17460,"Cleveland-Elyria, OH",543,859
