,co_name,state,inflow2011_12,outflow2011_12,net_flow2011_12,inflow2012_13,outflow2012_13,net_flow2012_13,inflow2013_14,outflow2013_14,net_flow2013_14,inflow2014_15,outflow2014_15,net_flow2014_15,tot_inflow,tot_outflow,tot_net_flow
318,Kane County,IL,24,40,-16,46,26,20,0,0,0,0,0,0,70,66,4
319,Lorain County,OH,24,56,-32,14,17,-3,0,0,0,0,0,0,38,73,-35
320,Chemung County,NY,24,34,-10,15,80,-65,0,0,0,0,0,0,39,114,-75
321,Addison County,VT,24,0,24,0,0,0,0,0,0,0,0,0,24,0,24
322,McHenry County,IL,23,66,-43,16,14,2,0,0,0,0,0,0,39,80,-41
323,Kalamazoo County,MI,23,0,23,14,15,-1,0,0,0,0,0,0,37,15,22
324,Lancaster County,NE,23,0,23,29,39,-10,0,0,0,0,0,0,52,39,13
325,Warren County,NY,23,70,-47,29,49,-20,0,0,0,0,0,0,52,119,-67
326,Martin County,FL,23,95,-72,40,66,-26,0,35,-35,0,30,-30,63,226,-163
327,Craven County,NC,23,45,-22,21,34,-13,0,0,0,0,0,0,44,79,-35
328,St. Joseph County,IN,22,28,-6,23,19,4,0,0,0,0,0,0,45,47,-2
329,Napa County,CA,22,29,-7,26,47,-21,0,0,0,0,0,0,48,76,-28
330,Cabarrus County,NC,21,111,-90,0,123,-123,0,0,0,0,46,-46,21,280,-259
331,Delaware County,OH,21,15,6,0,0,0,0,0,0,0,0,0,21,15,6
332,Bay County,FL,21,39,-18,18,35,-17,0,0,0,0,0,0,39,74,-35
333,Petersburg city,VA,21,33,-12,0,0,0,0,0,0,0,0,0,21,33,-12
334,Stark County,OH,21,0,21,38,17,21,0,0,0,0,0,0,59,17,42
335,Pitkin County,CO,21,21,0,16,19,-3,0,0,0,0,0,0,37,40,-3
336,Solano County,CA,20,48,-28,69,64,5,0,0,0,0,0,0,89,112,-23
337,Paulding County,GA,20,41,-21,0,75,-75,0,0,0,0,0,0,20,116,-96
338,Fairbanks North Star Borough,AK,20,18,2,0,0,0,0,0,0,0,0,0,20,18,2
339,Kennebec County,ME,20,0,20,0,0,0,0,0,0,0,0,0,20,0,20
340,Brazos County,TX,20,16,4,19,0,19,0,0,0,0,0,0,39,16,23
341,Ada County,ID,19,40,-21,51,17,34,0,0,0,0,0,0,70,57,13
342,Spotsylvania County,VA,19,36,-17,0,0,0,0,0,0,0,0,0,19,36,-17
343,Cleveland County,OK,19,29,-10,26,27,-1,0,0,0,0,0,0,45,56,-11
344,Cache County,UT,18,0,18,0,0,0,0,0,0,0,0,0,18,0,18
345,Charles County,MD,18,36,-18,0,21,-21,0,0,0,0,0,0,18,57,-39
346,Lycoming County,PA,18,0,18,0,24,-24,0,0,0,0,0,0,18,24,-6
347,Union County,NC,18,116,-98,0,109,-109,0,0,0,0,0,0,18,225,-207
348,Anoka County,MN,18,25,-7,0,0,0,0,0,0,0,0,0,18,25,-7
349,Lafayette Parish,LA,18,42,-24,19,37,-18,0,29,-29,0,37,-37,37,145,-108
350,Lake County,IN,18,0,18,0,21,-21,0,0,0,0,0,0,18,21,-3
351,Lee County,AL,18,0,18,0,0,0,0,0,0,0,0,0,18,0,18
352,Harrison County,MS,17,0,17,16,0,16,0,0,0,0,0,0,33,0,33
353,Bennington County,VT,17,22,-5,23,37,-14,0,0,0,0,0,0,40,59,-19
354,Hawaii County,HI,17,23,-6,0,0,0,0,0,0,0,0,0,17,23,-6
355,McLean County,IL,17,0,17,0,25,-25,0,0,0,0,0,0,17,25,-8
356,Sumter County,SC,17,19,-2,22,43,-21,0,0,0,0,0,0,39,62,-23
357,Wicomico County,MD,17,0,17,0,20,-20,0,0,0,0,0,0,17,20,-3
358,Clarke County,GA,16,36,-20,56,33,23,0,0,0,0,0,0,72,69,3
359,Tuscaloosa County,AL,16,0,16,12,0,12,0,0,0,0,0,0,28,0,28
360,Mahoning County,OH,16,73,-57,14,86,-72,0,0,0,0,0,0,30,159,-129
361,Washington County,VT,16,36,-20,31,16,15,0,0,0,0,0,0,47,52,-5
362,Warren County,OH,16,20,-4,25,27,-2,0,0,0,0,0,0,41,47,-6
364,Gallatin County,MT,16,0,16,18,13,5,0,0,0,0,0,0,34,13,21
365,Schuylkill County,PA,16,87,-71,20,58,-38,0,0,0,0,0,0,36,145,-109
366,Stafford County,VA,16,21,-5,48,30,18,0,39,-39,0,0,0,64,90,-26
367,York County,ME,15,61,-46,54,53,1,0,33,-33,0,24,-24,69,171,-102
368,Cheshire County,NH,15,18,-3,12,0,12,0,0,0,0,0,0,27,18,9
369,Chautauqua County,NY,15,16,-1,0,13,-13,0,0,0,0,0,0,15,29,-14
370,York County,VA,15,0,15,0,0,0,0,0,0,0,0,0,15,0,15
371,Benton County,AR,15,59,-44,0,0,0,0,0,0,0,0,0,15,59,-44
372,Maui County,HI,15,14,1,20,29,-9,0,0,0,0,0,0,35,43,-8
373,Bristol County,RI,15,29,-14,13,14,-1,0,0,0,0,0,0,28,43,-15
374,Douglas County,KS,15,13,2,30,0,30,0,0,0,0,0,0,45,13,32
375,Galveston County,TX,15,39,-24,32,46,-14,0,0,0,0,0,0,47,85,-38
376,Wood County,OH,14,0,14,0,14,-14,0,0,0,0,0,0,14,14,0
377,St. Charles County,MO,14,0,14,0,16,-16,0,0,0,0,0,0,14,16,-2
378,Hinds County,MS,14,0,14,32,29,3,0,0,0,0,0,0,46,29,17
379,Kanawha County,WV,14,0,14,22,49,-27,0,0,0,0,0,0,36,49,-13
380,Portage County,OH,14,0,14,22,0,22,0,0,0,0,0,0,36,0,36
381,Tulare County,CA,14,0,14,0,0,0,0,0,0,0,0,0,14,0,14
382,Washington County,MN,14,0,14,0,0,0,0,0,0,0,0,0,14,0,14
383,Yolo County,CA,14,16,-2,16,40,-24,0,0,0,0,0,0,30,56,-26
384,Cayuga County,NY,14,0,14,0,11,-11,0,0,0,0,0,0,14,11,3
385,Clay County,FL,13,101,-88,24,77,-53,0,0,0,0,0,0,37,178,-141
386,Cherokee County,GA,13,0,13,0,22,-22,0,0,0,0,0,0,13,22,-9
387,Stanislaus County,CA,13,20,-7,23,18,5,0,0,0,0,0,0,36,38,-2
388,Nueces County,TX,13,11,2,0,12,-12,0,0,0,0,0,0,13,23,-10
389,Steuben County,NY,13,19,-6,0,0,0,0,0,0,0,0,0,13,19,-6
390,Livingston County,NY,12,0,12,0,0,0,0,0,0,0,0,0,12,0,12
391,Douglas County,CO,12,30,-18,35,44,-9,0,32,-32,0,0,0,47,106,-59
392,Washington County,AR,12,18,-6,0,16,-16,0,0,0,0,0,0,12,34,-22
393,Gaston County,NC,12,32,-20,0,29,-29,0,0,0,0,0,0,12,61,-49
394,Nantucket County,MA,12,17,-5,0,0,0,0,0,0,0,0,0,12,17,-5
395,Lubbock County,TX,11,46,-35,0,25,-25,0,0,0,0,0,0,11,71,-60
396,Windham County,VT,11,45,-34,29,38,-9,0,0,0,0,0,0,40,83,-43
397,Washington County,PA,11,0,11,0,0,0,0,0,0,0,0,0,11,0,11
398,Spokane County,WA,10,12,-2,29,0,29,0,0,0,0,0,0,39,12,27
399,Allen County,OH,10,0,10,0,0,0,0,0,0,0,0,0,10,0,10
400,Westmoreland County,PA,10,0,10,37,30,7,0,0,0,0,0,0,47,30,17
401,Fayette County,GA,10,40,-30,17,32,-15,0,0,0,0,0,0,27,72,-45
402,Johnston County,NC,0,67,-67,0,51,-51,0,0,0,0,0,0,0,118,-118
403,Olmsted County,MN,0,56,-56,43,50,-7,0,0,0,0,0,0,43,106,-63
404,Forsyth County,GA,0,56,-56,16,34,-18,0,0,0,0,0,0,16,90,-74
405,Adams County,CO,0,53,-53,16,21,-5,0,0,0,0,0,0,16,74,-58
406,Dorchester County,SC,0,51,-51,20,54,-34,0,0,0,0,0,0,20,105,-85
407,Sumter County,FL,0,48,-48,0,79,-79,0,0,0,0,34,-34,0,161,-161
408,York County,SC,0,48,-48,15,101,-86,0,45,-45,0,0,0,15,194,-179
409,Pennington County,SD,0,45,-45,0,0,0,0,0,0,0,0,0,0,45,-45
410,Pinal County,AZ,0,44,-44,13,42,-29,0,0,0,0,0,0,13,86,-73
411,Yavapai County,AZ,0,40,-40,0,0,0,0,0,0,0,0,0,0,40,-40
412,Citrus County,FL,0,39,-39,21,19,2,0,0,0,0,0,0,21,58,-37
413,Liberty County,GA,0,32,-32,48,74,-26,0,0,0,0,0,0,48,106,-58
414,Harnett County,NC,0,29,-29,0,31,-31,0,0,0,0,0,0,0,60,-60
415,Iredell County,NC,0,28,-28,0,44,-44,0,0,0,0,0,0,0,72,-72
416,Highlands County,FL,0,27,-27,0,0,0,0,0,0,0,0,0,0,27,-27
417,Geary County,KS,0,27,-27,17,0,17,0,0,0,0,0,0,17,27,-10
418,Portsmouth city,VA,0,26,-26,0,46,-46,0,0,0,0,0,0,0,72,-72
419,Brazoria County,TX,0,25,-25,0,20,-20,0,0,0,0,0,0,0,45,-45
420,Wilson County,NC,0,25,-25,0,27,-27,0,0,0,0,0,0,0,52,-52
421,Marlboro County,SC,0,23,-23,0,0,0,0,0,0,0,0,0,0,23,-23
422,Chenango County,NY,0,23,-23,0,18,-18,0,0,0,0,0,0,0,41,-41
423,Columbia County,GA,0,22,-22,0,0,0,0,0,0,0,0,0,0,22,-22
424,Summit County,UT,0,22,-22,0,34,-34,0,0,0,0,0,0,0,56,-56
425,Moore County,NC,0,21,-21,0,16,-16,0,0,0,0,0,0,0,37,-37
426,Schoharie County,NY,0,21,-21,0,0,0,0,0,0,0,0,0,0,21,-21
427,Roanoke city,VA,0,20,-20,0,0,0,0,0,0,0,0,0,0,20,-20
428,Fulton County,NY,0,19,-19,0,31,-31,0,0,0,0,0,0,0,50,-50
429,Cass County,ND,0,19,-19,0,0,0,0,0,0,0,0,0,0,19,-19
430,Glynn County,GA,0,19,-19,0,0,0,0,0,0,0,0,0,0,19,-19
431,Shelby County,AL,0,18,-18,12,19,-7,0,0,0,0,0,0,12,37,-25
432,Greene County,OH,0,18,-18,0,0,0,0,0,0,0,0,0,0,18,-18
433,Wayne County,NC,0,17,-17,0,32,-32,0,0,0,0,0,0,0,49,-49
434,Chatham County,NC,0,16,-16,0,0,0,0,0,0,0,0,0,0,16,-16
435,Penobscot County,ME,0,15,-15,26,0,26,0,0,0,0,0,0,26,15,11
436,Hoke County,NC,0,15,-15,0,0,0,0,0,0,0,0,0,0,15,-15
437,Trumbull County,OH,0,14,-14,0,0,0,0,0,0,0,0,0,0,14,-14
438,James City County,VA,0,14,-14,17,0,17,0,0,0,0,0,0,17,14,3
439,Hancock County,ME,0,14,-14,14,0,14,0,0,0,0,0,0,14,14,0
440,Washington County,NY,0,14,-14,0,0,0,0,0,0,0,0,0,0,14,-14
442,Ottawa County,MI,0,13,-13,0,0,0,0,0,0,0,0,0,0,13,-13
443,St. Tammany Parish,LA,0,13,-13,13,18,-5,0,0,0,0,0,0,13,31,-18
444,DeKalb County,IL,0,13,-13,0,0,0,0,0,0,0,0,0,0,13,-13
445,Whatcom County,WA,0,12,-12,0,23,-23,0,0,0,0,0,0,0,35,-35
446,Davis County,UT,0,0,0,27,26,1,0,0,0,0,0,0,27,26,1
447,Butler County,PA,0,0,0,21,20,1,0,0,0,0,0,0,21,20,1
448,Rutherford County,TN,0,0,0,20,12,8,0,0,0,0,0,0,20,12,8
449,Essex County,NY,0,0,0,19,0,19,0,0,0,0,0,0,19,0,19
450,Lynchburg city,VA,0,0,0,18,0,18,0,0,0,0,0,0,18,0,18
451,Washington County,UT,0,0,0,17,0,17,0,0,0,0,0,0,17,0,17
452,Carroll County,MD,0,0,0,16,0,16,0,0,0,0,0,0,16,0,16
453,Genesee County,MI,0,0,0,15,50,-35,0,0,0,0,0,0,15,50,-35
454,Laramie County,WY,0,0,0,15,0,15,0,0,0,0,0,0,15,0,15
455,Missoula County,MT,0,0,0,15,0,15,0,0,0,0,0,0,15,0,15
456,Hall County,NE,0,0,0,13,0,13,0,0,0,0,0,0,13,0,13
457,Athens County,OH,0,0,0,13,0,13,0,0,0,0,0,0,13,0,13
458,Monongalia County,WV,0,0,0,13,0,13,0,0,0,0,0,0,13,0,13
459,Madison County,NY,0,0,0,13,12,1,0,0,0,0,0,0,13,12,1
460,Rankin County,MS,0,0,0,12,0,12,0,0,0,0,0,0,12,0,12
461,Carroll County,NH,0,0,0,12,0,12,0,0,0,0,0,0,12,0,12
462,Kenton County,KY,0,0,0,0,41,-41,0,0,0,0,0,0,0,41,-41
463,Cecil County,MD,0,0,0,0,36,-36,0,0,0,0,0,0,0,36,-36
464,Brunswick County,NC,0,0,0,0,36,-36,0,0,0,0,0,0,0,36,-36
465,Jackson County,OR,0,0,0,0,35,-35,0,0,0,0,0,0,0,35,-35
466,Alamance County,NC,0,0,0,0,34,-34,0,0,0,0,0,0,0,34,-34
467,Warren County,KY,0,0,0,0,28,-28,0,0,0,0,0,0,0,28,-28
468,Houston County,GA,0,0,0,0,25,-25,0,0,0,0,0,0,0,25,-25
469,Rowan County,NC,0,0,0,0,24,-24,0,0,0,0,0,0,0,24,-24
470,Georgetown County,SC,0,0,0,0,21,-21,0,0,0,0,0,0,0,21,-21
471,Suffolk city,VA,0,0,0,0,20,-20,0,0,0,0,0,0,0,20,-20
472,Dukes County,MA,0,0,0,0,19,-19,0,0,0,0,0,0,0,19,-19
473,Beaver County,PA,0,0,0,0,19,-19,0,0,0,0,0,0,0,19,-19
474,Vernon Parish,LA,0,0,0,0,19,-19,0,0,0,0,0,0,0,19,-19
475,Riley County,KS,0,0,0,0,17,-17,0,0,0,0,0,0,0,17,-17
476,McLennan County,TX,0,0,0,0,15,-15,0,0,0,0,0,0,0,15,-15
477,Knox County,ME,0,0,0,0,14,-14,0,0,0,0,0,0,0,14,-14
478,Peoria County,IL,0,0,0,0,12,-12,0,0,0,0,0,0,0,12,-12
479,Cabell County,WV,0,0,0,0,10,-10,0,0,0,0,0,0,0,10,-10
