,cbsa_code,cbsa_name,inflow2011_12,outflow2011_12,net_flow2011_12,inflow2012_13,outflow2012_13,net_flow2012_13,inflow2013_14,outflow2013_14,net_flow2013_14,inflow2014_15,outflow2014_15,net_flow2014_15,tot_inflow,tot_outflow,tot_net_flow
33,14460,"Boston-Cambridge-Newton, MA-NH",8305,9594,-1289,8495,9590,-1095,6940,7978,-1038,5001,6138,-1137,28741,33300,-4559
34,14500,"Boulder, CO",182,383,-201,202,405,-203,111,357,-246,80,245,-165,575,1390,-815
35,14540,"Bowling Green, KY",0,0,0,0,28,-28,0,0,0,0,0,0,0,28,-28
36,14580,"Bozeman, MT",16,0,16,18,13,5,0,0,0,0,0,0,34,13,21
37,14740,"Bremerton-Silverdale, WA",33,18,15,25,35,-10,0,0,0,0,0,0,58,53,5
38,14860,"Bridgeport-Stamford-Norwalk, CT",7122,11486,-4364,7644,12518,-4874,7366,12205,-4839,5901,9683,-3782,28033,45892,-17859
39,15260,"Brunswick, GA",0,19,-19,0,0,0,0,0,0,0,0,0,0,19,-19
40,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",1177,1527,-350,1210,1562,-352,1000,1277,-277,723,1047,-324,4110,5413,-1303
41,15500,"Burlington, NC",0,0,0,0,58,-58,0,0,0,0,0,0,0,58,-58
42,15540,"Burlington-South Burlington, VT",190,231,-41,192,261,-69,89,132,-43,72,69,3,543,693,-150
43,15940,"Canton-Massillon, OH",21,0,21,38,17,21,0,0,0,0,0,0,59,17,42
44,15980,"Cape Coral-Fort Myers, FL",1202,2135,-933,958,2377,-1419,583,2351,-1768,376,1847,-1471,3119,8710,-5591
45,16580,"Champaign-Urbana, IL",83,94,-11,47,28,19,76,0,76,0,0,0,206,122,84
46,16620,"Charleston, WV",14,0,14,22,49,-27,0,0,0,0,0,0,36,49,-13
47,16700,"Charleston-North Charleston, SC",404,1058,-654,372,1079,-707,189,815,-626,145,397,-252,1110,3349,-2239
48,16740,"Charlotte-Concord-Gastonia, NC-SC",2254,4805,-2551,2059,5896,-3837,1535,4777,-3242,1297,3399,-2102,7145,18877,-11732
49,16820,"Charlottesville, VA",179,167,12,177,176,1,124,76,48,24,31,-7,504,450,54
50,16860,"Chattanooga, TN-GA",59,44,15,46,89,-43,0,0,0,0,0,0,105,133,-28
51,16940,"Cheyenne, WY",0,0,0,15,0,15,0,0,0,0,0,0,15,0,15
52,16980,"Chicago-Naperville-Elgin, IL-IN-WI",5567,6325,-758,5622,6278,-656,4403,5070,-667,3283,3761,-478,18875,21434,-2559
53,17140,"Cincinnati, OH-KY-IN",518,509,9,531,607,-76,243,360,-117,171,157,14,1463,1633,-170
54,17200,"Claremont-Lebanon, NH-VT",117,98,19,125,161,-36,68,44,24,42,0,42,352,303,49
55,17300,"Clarksville, TN-KY",47,181,-134,140,179,-39,0,49,-49,0,0,0,187,409,-222
56,17460,"Cleveland-Elyria, OH",859,1092,-233,834,1003,-169,434,667,-233,385,522,-137,2512,3284,-772
57,17780,"College Station-Bryan, TX",20,16,4,19,0,19,0,0,0,0,0,0,39,16,23
58,17820,"Colorado Springs, CO",181,425,-244,279,408,-129,116,252,-136,67,227,-160,643,1312,-669
