,cbsa_code,cbsa_name,inflow2011_12,outflow2011_12,net_flow2011_12,inflow2012_13,outflow2012_13,net_flow2012_13,inflow2013_14,outflow2013_14,net_flow2013_14,inflow2014_15,outflow2014_15,net_flow2014_15,tot_inflow,tot_outflow,tot_net_flow
244,44300,"State College, PA",139,61,78,101,50,51,29,0,29,23,23,0,292,134,158
245,44700,"Stockton-Lodi, CA",28,19,9,24,56,-32,0,0,0,0,0,0,52,75,-23
246,44920,"Summit Park, UT",0,22,-22,0,34,-34,0,0,0,0,0,0,0,56,-56
247,44940,"Sumter, SC",17,19,-2,22,43,-21,0,0,0,0,0,0,39,62,-23
248,45060,"Syracuse, NY",963,917,46,889,983,-94,611,812,-201,514,590,-76,2977,3302,-325
249,45220,"Tallahassee, FL",176,181,-5,275,68,207,62,35,27,65,0,65,578,284,294
250,45300,"Tampa-St. Petersburg-Clearwater, FL",5647,7462,-1815,4437,7759,-3322,2859,7182,-4323,1984,5675,-3691,14927,28078,-13151
251,45540,"The Villages, FL",31,385,-354,34,481,-447,0,239,-239,0,154,-154,65,1259,-1194
252,45700,"Tifton, GA",33,0,33,0,0,0,0,0,0,0,0,0,33,0,33
253,45780,"Toledo, OH",65,62,3,42,70,-28,27,0,27,0,0,0,134,132,2
254,45860,"Torrington, CT",412,624,-212,422,714,-292,297,592,-295,312,424,-112,1443,2354,-911
255,45940,"Trenton, NJ",5697,6914,-1217,5640,6774,-1134,5313,6170,-857,3962,4805,-843,20612,24663,-4051
256,46060,"Tucson, AZ",290,526,-236,287,464,-177,177,279,-102,78,147,-69,832,1416,-584
257,46140,"Tulsa, OK",83,75,8,68,109,-41,35,30,5,31,40,-9,217,254,-37
258,46220,"Tuscaloosa, AL",16,0,16,12,0,12,0,0,0,0,0,0,28,0,28
259,46520,"Urban Honolulu, HI",691,807,-116,672,836,-164,362,722,-360,346,438,-92,2071,2803,-732
260,46540,"Utica-Rome, NY",211,375,-164,238,411,-173,149,288,-139,114,276,-162,712,1350,-638
261,46700,"Vallejo-Fairfield, CA",20,48,-28,69,64,5,0,0,0,0,0,0,89,112,-23
262,47220,"Vineland-Bridgeton, NJ",237,323,-86,141,219,-78,35,40,-5,0,0,0,413,582,-169
263,47240,"Vineyard Haven, MA",0,0,0,0,19,-19,0,0,0,0,0,0,0,19,-19
264,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1426,2142,-716,1426,2247,-821,580,1532,-952,530,859,-329,3962,6780,-2818
265,47300,"Visalia-Porterville, CA",14,0,14,0,0,0,0,0,0,0,0,0,14,0,14
266,47380,"Waco, TX",0,0,0,0,15,-15,0,0,0,0,0,0,0,15,-15
267,47580,"Warner Robins, GA",0,0,0,0,25,-25,0,0,0,0,0,0,0,25,-25
268,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",9053,11322,-2269,9350,11662,-2312,7689,12237,-4548,7660,8391,-731,33752,43612,-9860
269,48060,"Watertown-Fort Drum, NY",240,290,-50,214,266,-52,0,90,-90,51,47,4,505,693,-188
270,48620,"Wichita, KS",41,14,27,75,64,11,0,0,0,0,0,0,116,78,38
271,48700,"Williamsport, PA",51,24,27,0,49,-49,0,0,0,0,0,0,51,73,-22
272,48900,"Wilmington, NC",85,382,-297,160,512,-352,66,250,-184,0,86,-86,311,1230,-919
273,48980,"Wilson, NC",0,25,-25,0,27,-27,0,0,0,0,0,0,0,52,-52
274,49180,"Winston-Salem, NC",138,391,-253,193,365,-172,95,165,-70,84,130,-46,510,1051,-541
275,49340,"Worcester, MA-CT",730,1033,-303,748,1104,-356,527,641,-114,378,675,-297,2383,3453,-1070
276,49620,"York-Hanover, PA",220,591,-371,172,503,-331,108,251,-143,34,135,-101,534,1480,-946
277,49660,"Youngstown-Warren-Boardman, OH-PA",16,87,-71,14,86,-72,0,0,0,0,0,0,30,173,-143
