fips,STNAME,CTYNAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,NPOPCHG2015,NPOPCHG2016,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016
34003,New Jersey,Bergen County,906800,913717,919694,925497,931196,936010,939151,1683,6917,5977,5803,5699,4814,3141,702,2368,2117,1927,2368,2466,2162,1183,5296,5155,5112,5616,5841,5733,-100,-541,-1099,-434,-2212,-2748,-4630
34013,New Jersey,Essex County,784664,786958,787579,789953,793443,795039,796914,661,2294,621,2374,3490,1596,1875,1152,4513,4665,4691,4635,4075,3827,1340,5343,4948,4803,5323,5540,5488,-1850,-7763,-9015,-6431,-6710,-7213,-7674
34017,New Jersey,Hudson County,636254,647983,657113,664163,669604,673765,677983,1980,11729,9130,7050,5441,4161,4218,1521,6453,6606,6477,6529,6016,5894,2094,9179,8917,8775,9688,10062,9931,-1617,-4049,-6256,-7567,-11321,-11210,-11970
34019,New Jersey,Hunterdon County,127357,127228,126492,126221,125762,125390,124676,-7,-129,-736,-271,-459,-372,-714,12,145,111,-32,23,-7,-41,43,179,127,138,158,161,161,-67,-529,-985,-354,-592,-466,-781
34023,New Jersey,Middlesex County,811229,817143,823670,828714,833724,836079,837073,1362,5914,6527,5044,5010,2355,994,1097,4333,4492,3921,3733,3587,3186,1612,7010,6625,6571,7308,7620,7502,-1376,-5178,-4568,-5494,-5830,-8676,-9317
34025,New Jersey,Monmouth County,630790,629815,628782,628486,627771,626775,625846,367,-975,-1033,-296,-715,-996,-929,260,831,1089,518,831,128,71,349,1138,958,923,1051,1124,1100,-250,-2710,-3146,-1864,-2269,-2273,-1845
34027,New Jersey,Morris County,492873,495792,497310,498546,498376,498419,498423,558,2919,1518,1236,-170,43,4,381,1203,984,824,869,929,775,531,2018,1907,1928,2146,2249,2216,-363,-114,-1333,-1423,-3075,-2787,-2823
34029,New Jersey,Ocean County,577674,579038,580682,582978,585881,588791,592497,1126,1364,1644,2296,2903,2910,3706,323,855,977,977,1208,1309,1251,177,465,534,534,625,654,630,602,352,233,658,1077,431,1967
34031,New Jersey,Passaic County,502295,504031,505101,506391,508185,508398,507945,671,1736,1070,1290,1794,213,-453,988,3497,3559,3224,3370,2986,2985,735,3410,3324,3181,3578,3723,3692,-1062,-5156,-5830,-4913,-5239,-6174,-7191
34035,New Jersey,Somerset County,324158,326716,328580,330962,332120,333015,333751,730,2558,1864,2382,1158,895,736,391,1484,1190,1143,1036,903,699,390,1576,1590,1593,1749,1828,1786,-32,-732,-924,-463,-1479,-1870,-1569
