,cbsa_name,inflow2011_12,outflow2011_12,net_flow2011_12,inflow2012_13,outflow2012_13,net_flow2012_13,inflow2013_14,outflow2013_14,net_flow2013_14,inflow2014_15,outflow2014_15,net_flow2014_15,tot_inflow,tot_outflow,tot_net_flow
27,"Bennington, VT",17,22,-5,23,53,-30,0,0,0,0,0,0,40,75,-35
28,"Binghamton, NY",497,623,-126,504,843,-339,364,766,-402,323,459,-136,1688,2691,-1003
29,"Birmingham-Hoover, AL",181,195,-14,169,203,-34,85,117,-32,42,39,3,477,554,-77
30,"Bloomington, IL",17,57,-40,0,117,-117,53,0,53,0,0,0,70,174,-104
31,"Bloomington, IN",50,65,-15,74,40,34,32,0,32,0,0,0,156,105,51
32,"Boise City, ID",19,40,-21,51,17,34,0,0,0,0,0,0,70,57,13
33,"Boston-Cambridge-Newton, MA-NH",8305,9594,-1289,8495,9590,-1095,6940,7978,-1038,5001,6138,-1137,28741,33300,-4559
34,"Boulder, CO",182,383,-201,202,405,-203,111,357,-246,80,245,-165,575,1390,-815
35,"Bowling Green, KY",0,0,0,0,28,-28,0,0,0,0,0,0,0,28,-28
36,"Bozeman, MT",16,0,16,18,13,5,0,0,0,0,0,0,34,13,21
37,"Bremerton-Silverdale, WA",33,18,15,25,35,-10,0,0,0,0,0,0,58,53,5
38,"Bridgeport-Stamford-Norwalk, CT",7122,11486,-4364,7644,12518,-4874,7366,12205,-4839,5901,9683,-3782,28033,45892,-17859
39,"Brunswick, GA",0,19,-19,0,0,0,0,0,0,0,0,0,0,19,-19
40,"Buffalo-Cheektowaga-Niagara Falls, NY",1177,1527,-350,1210,1562,-352,1000,1277,-277,723,1047,-324,4110,5413,-1303
41,"Burlington, NC",0,0,0,0,58,-58,0,0,0,0,0,0,0,58,-58
42,"Burlington-South Burlington, VT",190,231,-41,192,261,-69,89,132,-43,72,69,3,543,693,-150
43,"Canton-Massillon, OH",21,0,21,38,17,21,0,0,0,0,0,0,59,17,42
44,"Cape Coral-Fort Myers, FL",1202,2135,-933,958,2377,-1419,583,2351,-1768,376,1847,-1471,3119,8710,-5591
45,"Champaign-Urbana, IL",83,94,-11,47,28,19,76,0,76,0,0,0,206,122,84
46,"Charleston, WV",14,0,14,22,49,-27,0,0,0,0,0,0,36,49,-13
47,"Charleston-North Charleston, SC",404,1058,-654,372,1079,-707,189,815,-626,145,397,-252,1110,3349,-2239
48,"Charlotte-Concord-Gastonia, NC-SC",2254,4805,-2551,2059,5896,-3837,1535,4777,-3242,1297,3399,-2102,7145,18877,-11732
49,"Charlottesville, VA",179,167,12,177,176,1,124,76,48,24,31,-7,504,450,54
50,"Chattanooga, TN-GA",59,44,15,46,89,-43,0,0,0,0,0,0,105,133,-28
51,"Cheyenne, WY",0,0,0,15,0,15,0,0,0,0,0,0,15,0,15
52,"Chicago-Naperville-Elgin, IL-IN-WI",5567,6325,-758,5622,6278,-656,4403,5070,-667,3283,3761,-478,18875,21434,-2559
53,"Cincinnati, OH-KY-IN",518,509,9,531,607,-76,243,360,-117,171,157,14,1463,1633,-170
54,"Claremont-Lebanon, NH-VT",117,98,19,125,161,-36,68,44,24,42,0,42,352,303,49
55,"Clarksville, TN-KY",47,181,-134,140,179,-39,0,49,-49,0,0,0,187,409,-222
56,"Cleveland-Elyria, OH",859,1092,-233,834,1003,-169,434,667,-233,385,522,-137,2512,3284,-772
57,"College Station-Bryan, TX",20,16,4,19,0,19,0,0,0,0,0,0,39,16,23
58,"Colorado Springs, CO",181,425,-244,279,408,-129,116,252,-136,67,227,-160,643,1312,-669
59,"Columbia, MO",33,18,15,37,15,22,0,0,0,0,0,0,70,33,37
60,"Columbia, SC",350,515,-165,300,587,-287,141,130,11,82,113,-31,873,1345,-472
61,"Columbus, GA-AL",97,107,-10,85,263,-178,0,52,-52,0,26,-26,182,448,-266
62,"Columbus, OH",1034,1299,-265,1035,1440,-405,843,1085,-242,577,969,-392,3489,4793,-1304
63,"Concord, NH",39,58,-19,66,45,21,0,0,0,0,0,0,105,103,2
64,"Corning, NY",13,19,-6,0,0,0,0,0,0,0,0,0,13,19,-6
65,"Corpus Christi, TX",13,11,2,0,12,-12,0,0,0,0,0,0,13,23,-10
66,"Crestview-Fort Walton Beach-Destin, FL",47,74,-27,25,62,-37,0,0,0,0,0,0,72,136,-64
67,"Dallas-Fort Worth-Arlington, TX",3000,5433,-2433,3229,5798,-2569,1878,5166,-3288,1557,3688,-2131,9664,20085,-10421
68,"Davenport-Moline-Rock Island, IA-IL",0,22,-22,0,0,0,0,0,0,0,0,0,0,22,-22
69,"Dayton, OH",98,78,20,59,103,-44,0,0,0,0,0,0,157,181,-24
70,"Deltona-Daytona Beach-Ormond Beach, FL",865,1748,-883,843,2004,-1161,473,1410,-937,251,1015,-764,2432,6177,-3745
71,"Denver-Aurora-Lakewood, CO",779,1424,-645,767,1434,-667,462,1290,-828,328,950,-622,2336,5098,-2762
72,"Des Moines-West Des Moines, IA",70,73,-3,41,66,-25,0,0,0,0,0,0,111,139,-28
73,"Detroit-Warren-Dearborn, MI",1469,2157,-688,1536,1692,-156,778,1028,-250,717,853,-136,4500,5730,-1230
74,"Dover, DE",172,434,-262,135,557,-422,40,128,-88,33,220,-187,380,1339,-959
75,"Dunn, NC",0,29,-29,0,31,-31,0,0,0,0,0,0,0,60,-60
76,"Durham-Chapel Hill, NC",658,1232,-574,590,1060,-470,348,700,-352,341,639,-298,1937,3631,-1694
77,"East Stroudsburg, PA",2437,3086,-649,2377,3362,-985,2177,3485,-1308,1577,2707,-1130,8568,12640,-4072
78,"Edwards, CO",31,20,11,10,15,-5,0,0,0,0,0,0,41,35,6
79,"El Paso, TX",206,318,-112,245,265,-20,84,208,-124,58,98,-40,593,889,-296
80,"Elmira, NY",24,52,-28,15,80,-65,0,0,0,0,0,0,39,132,-93
81,"Enterprise, AL",0,15,-15,0,28,-28,0,0,0,0,0,0,0,43,-43
82,"Erie, PA",33,76,-43,20,53,-33,34,0,34,0,0,0,87,129,-42
83,"Eugene, OR",43,38,5,42,61,-19,0,0,0,22,0,22,107,99,8
84,"Fairbanks, AK",20,18,2,0,18,-18,0,0,0,0,0,0,20,36,-16
85,"Fargo, ND-MN",0,19,-19,0,0,0,0,0,0,0,0,0,0,19,-19
86,"Fayetteville, NC",407,814,-407,446,868,-422,255,555,-300,232,336,-104,1340,2573,-1233
87,"Fayetteville-Springdale-Rogers, AR-MO",45,154,-109,75,38,37,0,0,0,0,0,0,120,192,-72
88,"Flint, MI",0,0,0,15,50,-35,0,0,0,0,0,0,15,50,-35
89,"Florence, SC",25,60,-35,20,87,-67,0,0,0,0,0,0,45,147,-102
90,"Fort Collins, CO",42,36,6,47,29,18,0,0,0,0,0,0,89,65,24
91,"Fort Leonard Wood, MO",0,25,-25,0,17,-17,0,0,0,0,0,0,0,42,-42
92,"Fort Polk South, LA",0,0,0,0,19,-19,0,0,0,0,0,0,0,19,-19
93,"Fort Wayne, IN",35,0,35,0,59,-59,0,0,0,0,0,0,35,59,-24
94,"Fresno, CA",37,208,-171,70,106,-36,0,43,-43,28,51,-23,135,408,-273
95,"Gainesville, FL",163,160,3,221,174,47,85,83,2,76,40,36,545,457,88
96,"Gainesville, GA",0,24,-24,0,23,-23,0,0,0,0,0,0,0,47,-47
97,"Georgetown, SC",0,44,-44,0,52,-52,0,0,0,0,0,0,0,96,-96
98,"Gettysburg, PA",0,24,-24,0,0,0,0,0,0,0,0,0,0,24,-24
99,"Glens Falls, NY",70,178,-108,64,198,-134,0,0,0,0,0,0,134,376,-242
100,"Glenwood Springs, CO",21,21,0,16,19,-3,0,0,0,0,0,0,37,40,-3
101,"Gloversville, NY",0,19,-19,0,31,-31,0,0,0,0,0,0,0,50,-50
102,"Goldsboro, NC",0,17,-17,0,32,-32,0,0,0,0,0,0,0,49,-49
103,"Grand Island, NE",0,0,0,13,0,13,0,0,0,0,0,0,13,0,13
104,"Grand Rapids-Wyoming, MI",88,177,-89,64,158,-94,86,87,-1,30,0,30,268,422,-154
105,"Greenfield Town, MA",53,35,18,28,24,4,0,0,0,0,0,0,81,59,22
106,"Greensboro-High Point, NC",426,904,-478,393,964,-571,353,614,-261,163,441,-278,1335,2923,-1588
107,"Greenville, NC",27,136,-109,45,127,-82,0,0,0,0,0,0,72,263,-191
108,"Greenville-Anderson-Mauldin, SC",269,491,-222,91,638,-547,37,471,-434,53,163,-110,450,1763,-1313
109,"Gulfport-Biloxi-Pascagoula, MS",17,0,17,16,0,16,0,0,0,0,0,0,33,0,33
110,"Hagerstown-Martinsburg, MD-WV",50,21,29,0,64,-64,0,0,0,0,0,0,50,85,-35
111,"Harrisburg-Carlisle, PA",488,728,-240,420,685,-265,199,443,-244,107,322,-215,1214,2178,-964
112,"Hartford-West Hartford-East Hartford, CT",2330,2696,-366,2231,2720,-489,1860,2290,-430,1319,1656,-337,7740,9362,-1622
113,"Hilo, HI",17,23,-6,0,11,-11,0,0,0,0,0,0,17,34,-17
114,"Hilton Head Island-Bluffton-Beaufort, SC",117,474,-357,130,593,-463,73,313,-240,26,153,-127,346,1533,-1187
115,"Hinesville, GA",0,81,-81,48,89,-41,0,0,0,0,0,0,48,170,-122
116,"Homosassa Springs, FL",28,142,-114,89,87,2,0,53,-53,0,39,-39,117,321,-204
117,"Houston-The Woodlands-Sugar Land, TX",2594,4824,-2230,2584,6211,-3627,1949,5558,-3609,1623,4430,-2807,8750,21023,-12273
118,"Hudson, NY",466,912,-446,441,726,-285,500,664,-164,280,540,-260,1687,2842,-1155
119,"Huntington-Ashland, WV-KY-OH",0,0,0,0,10,-10,0,0,0,0,0,0,0,10,-10
120,"Huntsville, AL",44,43,1,63,51,12,0,0,0,0,0,0,107,94,13
121,"Indianapolis-Carmel-Anderson, IN",296,748,-452,477,634,-157,184,249,-65,116,274,-158,1073,1905,-832
122,"Iowa City, IA",36,77,-41,82,101,-19,26,0,26,0,0,0,144,178,-34
123,"Ithaca, NY",420,317,103,396,331,65,293,222,71,218,159,59,1327,1029,298
124,"Jackson, MS",14,0,14,44,29,15,0,0,0,0,0,0,58,29,29
125,"Jacksonville, FL",1037,1827,-790,934,2214,-1280,577,1813,-1236,388,1120,-732,2936,6974,-4038
126,"Jacksonville, NC",521,472,49,468,456,12,198,199,-1,74,256,-182,1261,1383,-122
127,"Jamestown-Dunkirk-Fredonia, NY",15,16,-1,0,13,-13,0,0,0,0,0,0,15,29,-14
128,"Junction City, KS",0,27,-27,17,0,17,0,0,0,0,0,0,17,27,-10
129,"Kahului-Wailuku-Lahaina, HI",15,14,1,20,48,-28,0,0,0,0,0,0,35,62,-27
130,"Kalamazoo-Portage, MI",23,0,23,14,15,-1,0,0,0,0,0,0,37,15,22
131,"Kansas City, MO-KS",313,492,-179,327,538,-211,188,229,-41,131,112,19,959,1371,-412
132,"Keene, NH",15,18,-3,12,0,12,0,0,0,0,0,0,27,18,9
133,"Key West, FL",54,117,-63,96,81,15,0,0,0,0,87,-87,150,285,-135
134,"Killeen-Temple, TX",224,340,-116,208,437,-229,42,214,-172,0,169,-169,474,1160,-686
135,"Kingston, NY",3129,3439,-310,2848,3401,-553,2568,3243,-675,1920,2658,-738,10465,12741,-2276
136,"Knoxville, TN",72,76,-4,89,156,-67,67,0,67,0,0,0,228,232,-4
137,"Lafayette, LA",18,42,-24,19,37,-18,0,29,-29,0,37,-37,37,145,-108
138,"Lafayette-West Lafayette, IN",42,12,30,16,0,16,0,0,0,0,0,0,58,12,46
139,"Lakeland-Winter Haven, FL",897,1324,-427,636,1293,-657,265,1354,-1089,229,910,-681,2027,4881,-2854
140,"Lancaster, PA",513,948,-435,432,873,-441,185,612,-427,187,351,-164,1317,2784,-1467
141,"Lansing-East Lansing, MI",46,46,0,71,58,13,30,0,30,0,0,0,147,104,43
142,"Laredo, TX",0,0,0,0,12,-12,0,0,0,0,0,0,0,12,-12
143,"Las Vegas-Henderson-Paradise, NV",1412,2113,-701,1565,2213,-648,1048,2061,-1013,635,1758,-1123,4660,8145,-3485
144,"Lawrence, KS",15,13,2,30,0,30,0,0,0,0,0,0,45,13,32
145,"Lawton, OK",0,19,-19,0,28,-28,0,0,0,0,0,0,0,47,-47
146,"Lebanon, PA",86,236,-150,60,237,-177,0,115,-115,0,55,-55,146,643,-497
147,"Lexington-Fayette, KY",67,81,-14,110,123,-13,58,31,27,28,0,28,263,235,28
148,"Lima, OH",10,0,10,0,0,0,0,0,0,0,0,0,10,0,10
149,"Lincoln, NE",23,0,23,29,39,-10,0,0,0,0,0,0,52,39,13
150,"Little Rock-North Little Rock-Conway, AR",71,77,-6,80,46,34,32,0,32,0,0,0,183,123,60
151,"Logan, UT-ID",18,0,18,0,0,0,0,0,0,0,0,0,18,0,18
152,"Los Angeles-Long Beach-Anaheim, CA",8482,10993,-2511,8595,13258,-4663,7946,11918,-3972,6196,9626,-3430,31219,45795,-14576
153,"Louisville/Jefferson County, KY-IN",212,221,-9,226,264,-38,105,148,-43,69,130,-61,612,763,-151
154,"Lubbock, TX",11,46,-35,0,25,-25,0,0,0,0,0,0,11,71,-60
155,"Lynchburg, VA",0,0,0,18,0,18,0,0,0,0,0,0,18,0,18
156,"Macon-Bibb County, GA",25,16,9,21,18,3,0,0,0,0,0,0,46,34,12
157,"Madison, WI",326,229,97,263,237,26,120,148,-28,105,71,34,814,685,129
158,"Manchester-Nashua, NH",230,518,-288,313,540,-227,190,240,-50,166,197,-31,899,1495,-596
159,"Manhattan, KS",0,0,0,0,17,-17,0,0,0,0,0,0,0,17,-17
160,"McAllen-Edinburg-Mission, TX",50,94,-44,34,44,-10,0,0,0,0,0,0,84,138,-54
161,"Medford, OR",0,0,0,0,35,-35,0,0,0,0,0,0,0,35,-35
162,"Memphis, TN-MS-AR",312,396,-84,379,423,-44,164,177,-13,130,75,55,985,1071,-86
163,"Miami-Fort Lauderdale-West Palm Beach, FL",17744,23905,-6161,17515,23388,-5873,12797,22304,-9507,9757,18596,-8839,57813,88193,-30380
164,"Milwaukee-Waukesha-West Allis, WI",346,361,-15,307,410,-103,212,177,35,90,129,-39,955,1077,-122
165,"Minneapolis-St. Paul-Bloomington, MN-WI",1047,1112,-65,1012,997,15,708,802,-94,492,522,-30,3259,3433,-174
166,"Missoula, MT",0,0,0,15,0,15,0,0,0,0,0,0,15,0,15
167,"Mobile, AL",38,44,-6,61,75,-14,0,0,0,0,0,0,99,119,-20
168,"Modesto, CA",13,20,-7,23,18,5,0,0,0,0,0,0,36,38,-2
169,"Montgomery, AL",44,44,0,21,45,-24,0,0,0,0,0,0,65,89,-24
170,"Morgantown, WV",0,0,0,13,0,13,0,0,0,0,0,0,13,0,13
171,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",380,1731,-1351,408,2142,-1734,195,1646,-1451,68,1049,-981,1051,6568,-5517
172,"Napa, CA",22,29,-7,26,47,-21,0,0,0,0,0,0,48,76,-28
173,"Naples-Immokalee-Marco Island, FL",925,1363,-438,576,1479,-903,202,1314,-1112,134,1120,-986,1837,5276,-3439
174,"Nashville-Davidson--Murfreesboro--Franklin, TN",409,726,-317,612,841,-229,246,581,-335,216,631,-415,1483,2779,-1296
175,"New Bern, NC",37,76,-39,68,86,-18,0,0,0,0,0,0,105,162,-57
176,"New Haven-Milford, CT",2874,3593,-719,2714,3503,-789,2265,3351,-1086,1878,2711,-833,9731,13158,-3427
177,"New Orleans-Metairie, LA",415,599,-184,441,636,-195,262,518,-256,206,367,-161,1324,2120,-796
178,"North Port-Sarasota-Bradenton, FL",803,2142,-1339,870,2123,-1253,408,1951,-1543,217,1342,-1125,2298,7558,-5260
179,"Norwich-New London, CT",633,654,-21,633,564,69,431,470,-39,319,412,-93,2016,2100,-84
180,"Ocala, FL",388,785,-397,318,787,-469,174,487,-313,0,377,-377,880,2436,-1556
181,"Ocean City, NJ",233,409,-176,228,301,-73,52,80,-28,56,32,24,569,822,-253
182,"Ogden-Clearfield, UT",0,0,0,27,26,1,0,0,0,0,0,0,27,26,1
183,"Oklahoma City, OK",129,249,-120,145,121,24,58,130,-72,36,42,-6,368,542,-174
184,"Olympia-Tumwater, WA",37,34,3,15,0,15,0,0,0,0,0,0,52,34,18
185,"Omaha-Council Bluffs, NE-IA",96,151,-55,105,134,-29,32,73,-41,56,38,18,289,396,-107
186,"Oneonta, NY",137,230,-93,134,181,-47,0,40,-40,0,41,-41,271,492,-221
187,"Orangeburg, SC",25,83,-58,0,71,-71,0,0,0,0,32,-32,25,186,-161
188,"Orlando-Kissimmee-Sanford, FL",5675,9434,-3759,4959,9991,-5032,3654,8911,-5257,2788,7044,-4256,17076,35380,-18304
189,"Oxnard-Thousand Oaks-Ventura, CA",169,252,-83,243,360,-117,106,191,-85,100,93,7,618,896,-278
190,"Ozark, AL",0,0,0,0,35,-35,0,32,-32,0,0,0,0,67,-67
191,"Palm Bay-Melbourne-Titusville, FL",638,1238,-600,643,1394,-751,375,1580,-1205,297,1131,-834,1953,5343,-3390
192,"Panama City, FL",21,39,-18,18,35,-17,0,0,0,0,0,0,39,74,-35
193,"Pensacola-Ferry Pass-Brent, FL",30,66,-36,49,103,-54,0,0,0,0,0,0,79,169,-90
194,"Peoria, IL",0,0,0,0,12,-12,0,0,0,0,0,0,0,12,-12
195,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",16305,20762,-4457,15568,20100,-4532,12824,17532,-4708,9907,13874,-3967,54604,72268,-17664
196,"Phoenix-Mesa-Scottsdale, AZ",2039,3187,-1148,2020,3202,-1182,1756,3198,-1442,1189,2318,-1129,7004,11905,-4901
197,"Pinehurst-Southern Pines, NC",0,21,-21,0,36,-36,0,0,0,0,0,0,0,57,-57
198,"Pittsburgh, PA",1153,1401,-248,1212,1531,-319,984,1189,-205,722,772,-50,4071,4893,-822
199,"Pittsfield, MA",115,272,-157,121,279,-158,98,194,-96,59,82,-23,393,827,-434
200,"Plattsburgh, NY",49,26,23,0,46,-46,0,0,0,0,0,0,49,72,-23
201,"Port St. Lucie, FL",682,1844,-1162,844,1772,-928,359,1406,-1047,180,1103,-923,2065,6125,-4060
202,"Portland-South Portland, ME",186,472,-286,299,430,-131,155,335,-180,112,265,-153,752,1502,-750
203,"Portland-Vancouver-Hillsboro, OR-WA",658,810,-152,523,1043,-520,350,750,-400,272,541,-269,1803,3144,-1341
204,"Pottsville, PA",16,107,-91,20,58,-38,0,0,0,0,0,0,36,165,-129
205,"Prescott, AZ",0,75,-75,0,39,-39,0,0,0,0,0,0,0,114,-114
206,"Providence-Warwick, RI-MA",1758,2091,-333,1519,2115,-596,1144,1477,-333,792,1123,-331,5213,6806,-1593
207,"Provo-Orem, UT",136,37,99,48,51,-3,53,53,0,63,0,63,300,141,159
208,"Punta Gorda, FL",112,417,-305,111,455,-344,0,164,-164,0,115,-115,223,1151,-928
209,"Raleigh, NC",1557,3476,-1919,1467,3591,-2124,1222,3793,-2571,893,2393,-1500,5139,13253,-8114
210,"Rapid City, SD",0,45,-45,0,0,0,0,0,0,0,0,0,0,45,-45
211,"Reading, PA",810,1359,-549,763,1370,-607,561,966,-405,398,811,-413,2532,4506,-1974
212,"Reno, NV",65,83,-18,87,39,48,0,34,-34,0,0,0,152,156,-4
213,"Richmond, VA",840,1560,-720,887,1628,-741,532,1110,-578,465,690,-225,2724,4988,-2264
214,"Riverside-San Bernardino-Ontario, CA",830,977,-147,837,1140,-303,447,541,-94,344,361,-17,2458,3019,-561
215,"Roanoke, VA",0,20,-20,0,0,0,0,0,0,0,0,0,0,20,-20
216,"Rochester, MN",0,56,-56,67,50,17,0,0,0,0,0,0,67,106,-39
217,"Rochester, NY",1240,1292,-52,1018,1478,-460,885,923,-38,571,688,-117,3714,4381,-667
218,"Rockford, IL",0,0,0,0,69,-69,0,0,0,0,0,0,0,69,-69
219,"Rutland, VT",0,11,-11,0,0,0,0,0,0,0,0,0,0,11,-11
220,"Sacramento--Roseville--Arden-Arcade, CA",287,315,-28,292,500,-208,187,290,-103,173,163,10,939,1268,-329
221,"Salinas, CA",41,48,-7,41,72,-31,0,30,-30,21,0,21,103,150,-47
222,"Salisbury, MD-DE",131,605,-474,51,663,-612,0,468,-468,0,140,-140,182,1876,-1694
223,"Salt Lake City, UT",413,467,-54,345,472,-127,235,209,26,134,110,24,1127,1258,-131
224,"San Antonio-New Braunfels, TX",543,911,-368,622,989,-367,326,749,-423,222,400,-178,1713,3049,-1336
225,"San Diego-Carlsbad, CA",2317,2777,-460,2181,2896,-715,1913,2982,-1069,1496,2296,-800,7907,10951,-3044
226,"San Francisco-Oakland-Hayward, CA",4226,6728,-2502,4397,6698,-2301,3680,6889,-3209,2979,4992,-2013,15282,25307,-10025
227,"San Jose-Sunnyvale-Santa Clara, CA",1274,2170,-896,1345,2254,-909,1097,2270,-1173,1189,1528,-339,4905,8222,-3317
228,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",39,36,3,27,13,14,0,0,0,0,0,0,66,49,17
229,"Santa Cruz-Watsonville, CA",44,53,-9,57,60,-3,25,69,-44,0,30,-30,126,212,-86
230,"Santa Fe, NM",65,75,-10,66,81,-15,26,70,-44,23,36,-13,180,262,-82
231,"Santa Maria-Santa Barbara, CA",112,148,-36,105,132,-27,51,97,-46,70,105,-35,338,482,-144
232,"Santa Rosa, CA",45,109,-64,64,108,-44,44,90,-46,29,34,-5,182,341,-159
233,"Savannah, GA",212,367,-155,276,370,-94,80,169,-89,43,127,-84,611,1033,-422
234,"Scranton--Wilkes-Barre--Hazleton, PA",1515,3043,-1528,1543,2569,-1026,963,2157,-1194,736,1707,-971,4757,9476,-4719
235,"Seattle-Tacoma-Bellevue, WA",1969,2565,-596,1880,3043,-1163,1603,2578,-975,1073,1791,-718,6525,9977,-3452
236,"Sebastian-Vero Beach, FL",124,380,-256,128,520,-392,45,304,-259,30,212,-182,327,1416,-1089
237,"Sebring, FL",15,27,-12,0,0,0,0,0,0,0,0,0,15,27,-12
238,"South Bend-Mishawaka, IN-MI",35,28,7,23,19,4,0,0,0,0,0,0,58,47,11
239,"Spartanburg, SC",33,0,33,24,162,-138,0,0,0,0,0,0,57,162,-105
240,"Spokane-Spokane Valley, WA",10,12,-2,29,0,29,0,0,0,0,0,0,39,12,27
241,"Springfield, MA",709,950,-241,488,783,-295,380,574,-194,277,403,-126,1854,2710,-856
242,"St. George, UT",0,0,0,17,0,17,0,0,0,0,0,0,17,0,17
243,"St. Louis, MO-IL",534,512,22,471,634,-163,265,311,-46,224,166,58,1494,1623,-129
244,"State College, PA",139,61,78,101,50,51,29,0,29,23,23,0,292,134,158
245,"Stockton-Lodi, CA",28,19,9,24,56,-32,0,0,0,0,0,0,52,75,-23
246,"Summit Park, UT",0,22,-22,0,34,-34,0,0,0,0,0,0,0,56,-56
247,"Sumter, SC",17,19,-2,22,43,-21,0,0,0,0,0,0,39,62,-23
248,"Syracuse, NY",963,917,46,889,983,-94,611,812,-201,514,590,-76,2977,3302,-325
249,"Tallahassee, FL",176,181,-5,275,68,207,62,35,27,65,0,65,578,284,294
250,"Tampa-St. Petersburg-Clearwater, FL",5647,7462,-1815,4437,7759,-3322,2859,7182,-4323,1984,5675,-3691,14927,28078,-13151
251,"The Villages, FL",31,385,-354,34,481,-447,0,239,-239,0,154,-154,65,1259,-1194
252,"Tifton, GA",33,0,33,0,0,0,0,0,0,0,0,0,33,0,33
253,"Toledo, OH",65,62,3,42,70,-28,27,0,27,0,0,0,134,132,2
254,"Torrington, CT",412,624,-212,422,714,-292,297,592,-295,312,424,-112,1443,2354,-911
255,"Trenton, NJ",5697,6914,-1217,5640,6774,-1134,5313,6170,-857,3962,4805,-843,20612,24663,-4051
256,"Tucson, AZ",290,526,-236,287,464,-177,177,279,-102,78,147,-69,832,1416,-584
257,"Tulsa, OK",83,75,8,68,109,-41,35,30,5,31,40,-9,217,254,-37
258,"Tuscaloosa, AL",16,0,16,12,0,12,0,0,0,0,0,0,28,0,28
259,"Urban Honolulu, HI",691,807,-116,672,836,-164,362,722,-360,346,438,-92,2071,2803,-732
260,"Utica-Rome, NY",211,375,-164,238,411,-173,149,288,-139,114,276,-162,712,1350,-638
261,"Vallejo-Fairfield, CA",20,48,-28,69,64,5,0,0,0,0,0,0,89,112,-23
262,"Vineland-Bridgeton, NJ",237,323,-86,141,219,-78,35,40,-5,0,0,0,413,582,-169
263,"Vineyard Haven, MA",0,0,0,0,19,-19,0,0,0,0,0,0,0,19,-19
264,"Virginia Beach-Norfolk-Newport News, VA-NC",1426,2142,-716,1426,2247,-821,580,1532,-952,530,859,-329,3962,6780,-2818
265,"Visalia-Porterville, CA",14,0,14,0,0,0,0,0,0,0,0,0,14,0,14
266,"Waco, TX",0,0,0,0,15,-15,0,0,0,0,0,0,0,15,-15
267,"Warner Robins, GA",0,0,0,0,25,-25,0,0,0,0,0,0,0,25,-25
